Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
EET,ALL/ALL/0700-1900,AIRPORT,Y-L
BHM,ALL/ALL/ALL,AIRPORT,Y-L
DHN,ALL/ALL/ALL,AIRPORT,Y-L
EDN,"ALL/MONDAY - FRIDAY/0700 - 1700",AIRPORT,Y-L
EDN,"ALL/SATURDAY/0800 - 1700",AIRPORT,Y-L
EDN,ALL/SUNDAY/UNATNDD,AIRPORT,Y-L
BFM,ALL/ALL/0700-2300,AIRPORT,Y-L
IFP,ALL/ALL/ALL,AIRPORT,Y-L
P52,ALL/ALL/0800-1700,AIRPORT,Y-L
FLG,ALL/ALL/ALL,AIRPORT,Y-L
FHU,ALL/MON-FRI/1400-2230Z,AIRPORT,Y-L
GEU,ALL/ALL/0630-1930,AIRPORT,Y-L
P13,UNATNDD,AIRPORT,Y-L
GYR,ALL/ALL/ALL,AIRPORT,Y-L
IGM,ALL/MON-FRI/0600-1600,AIRPORT,Y-L
IGM,ALL/SAT-SUN/0600-1400,AIRPORT,Y-L
HII,ALL/ALL/0800-1700,AIRPORT,Y-L
MZJ,ALL/ALL/0700-1530,AIRPORT,Y-L
FFZ,ALL/ALL/ALL,AIRPORT,Y-L
OLS,ALL/ALL/0700-1900,AIRPORT,Y-L
PGA,ALL/ALL/DALGT,AIRPORT,Y-L
P20,ALL/ALL/0800-1700,AIRPORT,Y-L
PAN,ALL/MON-FRI/0700-1600,AIRPORT,Y-L
PAN,ALL/SAT-SUN/0700-1200,AIRPORT,Y-L
DVT,ALL/ALL/ALL,AIRPORT,Y-L
IWA,ALL/ALL/ALL,AIRPORT,Y
PHX,ALL/ALL/ALL,AIRPORT,Y-L
PRC,ALL/ALL/0600-2200,AIRPORT,Y-L
SAD,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
SAD,"ALL/SUN/ON CALL",AIRPORT,Y-L
SEZ,MAY-SEP/ALL/0700-1800,AIRPORT,Y-L
SEZ,OCT-APR/ALL/0700-1700,AIRPORT,Y-L
SDL,ALL/ALL/ALL,AIRPORT,Y-L
JTC,ALL/ALL/0800-1600,AIRPORT,Y-L
AVQ,ALL/ALL/0700-1730,AIRPORT,Y-L
TUS,ALL/ALL/ALL,AIRPORT,Y-L
RYN,ALL/SAT/0800-1700,AIRPORT,Y-L
RYN,ALL/M-F/0800-1700,AIRPORT,Y-L
E25,ALL/TUE-SAT/0700-1600,AIRPORT,Y-L
INW,ALL/MON-FRI/0700-1800,AIRPORT,Y-L
INW,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
NYL,ALL/ALL/,AIRPORT,Y-L
FYV,ALL/SAT-SUN/0800-2000,AIRPORT,Y-L
FYV,ALL/MON-FRI/0600-2200,AIRPORT,Y-L
FSM,ALL/ALL/ALL,AIRPORT,Y-L
HOT,ALL/ALL/0500-2200,AIRPORT,Y-L
JBR,ALL/ALL/0600-2100,AIRPORT,Y-L
LIT,ALL/ALL/ALL,AIRPORT,Y-L
SGT,FEB-OCT/MON-FRI/0800-1600,AIRPORT,Y
SGT,NOV-JAN/ALL/0800-2000,AIRPORT,Y
TXK,ALL/ALL/0600-2200,AIRPORT,Y-L
APV,ALL/ALL/0800-1700,AIRPORT,Y-L
ACV,"ALL/ALL /0400-2359",AIRPORT,Y-L
AUN,ALL/ALL/0800-1800,AIRPORT,Y-L
BFL,ALL/ALL/ALL,AIRPORT,Y-L
L35,ALL/ALL/0800-1700,AIRPORT,Y-L
BUR,ALL/ALL/ALL,AIRPORT,Y-L
C83,ALL/ALL/0700-1400,AIRPORT,
CMA,ALL/ALL/0700-2300,AIRPORT,Y-L
CRQ,ALL/ALL/0700-2200,AIRPORT,N
CIC,ALL/ALL/0700-1900,AIRPORT,Y-L
CNO,ALL/ALL/ALL,AIRPORT,Y-L
O22,ALL/ALL/0800-1700,AIRPORT,Y-L
CEC,ALL/ALL/0800-1800,AIRPORT,Y-L
DAG,ALL/ALL/0630-1700,AIRPORT,Y-L
EMT,ALL/ALL/ALL,AIRPORT,Y-L
FOT,UNATNDD,AIRPORT,Y-L
FAT,ALL/ALL/ALL,AIRPORT,Y-L
FUL,ALL/ALL/0700-2100,AIRPORT,Y-L
HAF,ALL/ALL/0830-1630,AIRPORT,Y-L
HMT,ALL/ALL/DALGT,AIRPORT,Y-L
WJF,ALL/ALL/ALL,AIRPORT,Y-L
NLC,ALL/MON-FRI/1600-0800Z++,AIRPORT,
NLC,ALL/SAT-SUN/1800-0200Z++,AIRPORT,
LHM,"ALL/MON-FRI/0630 - 1500",AIRPORT,Y-L
LVK,ALL/MON-FRI/0730-1700,AIRPORT,Y-L
LVK,ALL/SAT-SUN/0700-1100,AIRPORT,Y-L
LGB,ALL/ALL/ALL,AIRPORT,Y-L
SLI,ALL/TUE-THU/1400-0600Z++,AIRPORT,
SLI,ALL/FRI-MON/1400-2300Z++,AIRPORT,
WHP,ALL/ALL/ALL,AIRPORT,Y-L
LAX,ALL/ALL/ALL,AIRPORT,Y-L
MER,ALL/ALL/0900-1800,AIRPORT,Y-L
MCE,ALL/ALL/0600-1800,AIRPORT,Y-L
MOD,"ALL/MON-FRI/0800 -1630",AIRPORT,Y-L
SIY,ALL/ALL/0800-1700,AIRPORT,Y-L
MRY,ALL/ALL/ALL,AIRPORT,Y-L
NUQ,ALL/ALL/ALL,AIRPORT,Y-L
APC,ALL/ALL/0700-2000,AIRPORT,Y-L
EED,UNATNDD,AIRPORT,Y-L
OAK,ALL/ALL/ALL,AIRPORT,Y-L
ONT,ALL/ALL/ALL,AIRPORT,Y-L
OXR,ALL/ALL/0500-0030,AIRPORT,Y-L
PMD,ALL/ALL/1330-0600Z++,AIRPORT,Y
TRM,ALL/ALL/0700-1800,AIRPORT,Y-L
PSP,ALL/ALL/ALL,AIRPORT,Y-L
PRB,ALL/ALL/0700-1800,AIRPORT,Y-L
PVF,ALL/ALL/0800-1700,AIRPORT,Y-L
PTV,NOV-APR/ALL/0800-1700,AIRPORT,Y-L
PTV,MAY-OCT/ALL/0700-1900,AIRPORT,Y-L
RBL,ALL/ALL/0700-DUSK,AIRPORT,Y-L
RDD,ALL/ALL/ALL,AIRPORT,Y-L
O32,ALL/MON-FRI/0800-1530,AIRPORT,Y-L
RIV,ALL/ALL/0700-2300,AIRPORT,
SMF,ALL/ALL/ALL,AIRPORT,Y-L
MHR,ALL/MON/0500-2330,AIRPORT,Y-L
MHR,ALL/SUN/0500-2100,AIRPORT,Y-L
MHR,ALL/SAT/0300-2100,AIRPORT,Y-L
MHR,ALL/TUE-FRI/0300-2330,AIRPORT,Y-L
