Dep_Airport_ID,Schedules,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
EET,ALL/ALL/0700-1900,16/34,1,5000,75,ASPH-F,MED,16,,,,G
BHM,ALL/ALL/ALL,06/24,2,12007,150,ASPH-G,HIGH,175,205,350,,F
BHM,ALL/ALL/ALL,18/36,2,7099,150,ASPH-G,MED,75,170,240,,G
DHN,ALL/ALL/ALL,18/36,2,5498,100,ASPH-F,HIGH,75,105,190,,G
DHN,ALL/ALL/ALL,14/32,2,8499,150,ASPH-E,HIGH,75,105,190,,G
BFM,ALL/ALL/0700-2300,18/36,2,7800,150,ASPH-CONC-F,MED,76,150,320,,G
BFM,ALL/ALL/0700-2300,14/32,2,9618,150,ASPH-CONC-G,HIGH,75,185,325,,G
IFP,ALL/ALL/ALL,16/34,1,8501,150,ASPH-G,MED,75,200,400,,G
P52,ALL/ALL/0800-1700,14/32,1,4250,75,ASPH-G,MED,4,,,,G
FLG,ALL/ALL/ALL,03/21,1,8800,150,ASPH-E,HIGH,30,95,140,,G
FHU,ALL/MON-FRI/1400-2230Z,08/26,4,12001,150,CONC-E,HIGH,75,200,450,700,G
FHU,ALL/MON-FRI/1400-2230Z,12/30,4,5366,100,ASPH-CONC-G,MED,46,106,137,172,G
GEU,ALL/ALL/0630-1930,01/19,1,7150,100,ASPH-G,MED,40,60,,,G
P13,UNATNDD,09/27,1,6500,100,ASPH-F,MED,60,,,,F
GYR,ALL/ALL/ALL,03/21,2,8500,150,ASPH-G,MED,115,225,505,985,G
IGM,ALL/SAT-SUN/0600-1400,17/35,2,6725,75,ASPH-G,MED,22,60,,,G
IGM,ALL/MON-FRI/0600-1600,17/35,2,6725,75,ASPH-G,MED,22,60,,,G
IGM,ALL/SAT-SUN/0600-1400,03/21,2,6827,150,ASPH-G,MED,45,85,125,265,G
IGM,ALL/MON-FRI/0600-1600,03/21,2,6827,150,ASPH-G,MED,45,85,125,265,G
HII,ALL/ALL/0800-1700,14/32,1,8000,100,ASPH-F,MED,100,,,,G
MZJ,ALL/ALL/0700-1530,12/30,1,6849,150,ASPH-P,MED,68,100,270,500,P
FFZ,ALL/ALL/ALL,04L/22R,2,3799,75,ASPH-G,MED,12,,,,G
FFZ,ALL/ALL/ALL,04R/22L,2,5100,100,ASPH-G,MED,38,60,90,,G
OLS,ALL/ALL/0700-1900,03/21,2,7200,100,ASPH-G,MED,21,,,,P
OLS,ALL/ALL/0700-1900,H1,2,97,97,CONC-G,,22,,,,
PGA,ALL/ALL/DALGT,15/33,2,5950,150,ASPH-G,MED,65,90,190,,G
P20,ALL/ALL/0800-1700,01/19,1,6250,100,ASPH-G,MED,30,50,,,P
PAN,ALL/SAT-SUN/0700-1200,06/24,2,5504,75,ASPH-G,MED,40,50,100,,G
PAN,ALL/MON-FRI/0700-1600,06/24,2,5504,75,ASPH-G,MED,40,50,100,,G
DVT,ALL/ALL/ALL,07R/25L,2,8196,100,ASPH-G,MED,20,91,255,,G
DVT,ALL/ALL/ALL,07L/25R,2,4500,75,ASPH-G,MED,70,117,,,G
IWA,ALL/ALL/ALL,12C/30C,3,10201,150,ASPH-CONC-G,HIGH,55,95,185,550,G
IWA,ALL/ALL/ALL,12L/30R,3,9300,150,CONC-G,HIGH,75,210,590,850,G
IWA,ALL/ALL/ALL,12R/30L,3,10401,150,CONC-G,MED,55,95,185,550,G
PHX,ALL/ALL/ALL,07R/25L,3,7800,150,CONC-G,HIGH,30,200,400,1010,G
PHX,ALL/ALL/ALL,07L/25R,3,10300,150,CONC-G,HIGH,30,235,435,940,G
PHX,ALL/ALL/ALL,08/26,3,11489,150,CONC-G,HIGH,30,200,455,965,G
PRC,ALL/ALL/0600-2200,03L/21R,3,4846,60,ASPH-G,MED,12,,,,
PRC,ALL/ALL/0600-2200,03R/21L,3,7619,150,ASPH-G,MED,63,80,100,,G
PRC,ALL/ALL/0600-2200,12/30,3,4408,75,ASPH-G,MED,12,,,,G
SAD,"ALL/SUN/ON CALL",12/30,3,6007,100,ASPH-G,MED,33,,,,G
SAD,ALL/MON-SAT/0800-1700,12/30,3,6007,100,ASPH-G,MED,33,,,,G
SAD,"ALL/SUN/ON CALL",08/26,3,4802,60,ASPH-G,MED,23,,,,G
SAD,ALL/MON-SAT/0800-1700,08/26,3,4802,60,ASPH-G,MED,23,,,,G
SEZ,OCT-APR/ALL/0700-1700,03/21,2,5132,100,ASPH-G,MED,15,30,,,G
SEZ,MAY-SEP/ALL/0700-1800,03/21,2,5132,100,ASPH-G,MED,15,30,,,G
SDL,ALL/ALL/ALL,03/21,1,8249,100,ASPH-G,MED,45,75,,,G
JTC,ALL/ALL/0800-1600,11/29,2,4603,60,ASPH-G,MED,19,,,,P
JTC,ALL/ALL/0800-1600,03/21,2,8422,75,ASPH-G,MED,30,,,,G
AVQ,ALL/ALL/0700-1730,12/30,2,6901,100,ASPH-G,MED,75,100,300,,G
AVQ,ALL/ALL/0700-1730,03/21,2,3892,75,ASPH-G,MED,75,100,150,,G
TUS,ALL/ALL/ALL,03/21,3,7000,150,ASPH-G,MED,105,137,230,500,G
TUS,ALL/ALL/ALL,11L/29R,3,10996,150,ASPH-G,HIGH,160,200,350,585,G
TUS,ALL/ALL/ALL,11R/29L,3,8408,75,ASPH-G,MED,120,140,220,,G
RYN,ALL/M-F/0800-1700,06L/24R,3,4900,75,ASPH-G,MED,12,30,,,F
