Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
EET,033-10-40.0000N,086-46-59.6000W,AIRPORT,Y-L,16/34,1,5000,75,ASPH-F,MED,16,,,,G
BHM,033-33-50.0000N,086-45-08.3000W,AIRPORT,Y-L,06/24,2,12007,150,ASPH-G,HIGH,175,205,350,,F
BHM,033-33-50.0000N,086-45-08.3000W,AIRPORT,Y-L,18/36,2,7099,150,ASPH-G,MED,75,170,240,,G
DHN,031-19-15.7000N,085-26-58.1000W,AIRPORT,Y-L,18/36,2,5498,100,ASPH-F,HIGH,75,105,190,,G
DHN,031-19-15.7000N,085-26-58.1000W,AIRPORT,Y-L,14/32,2,8499,150,ASPH-E,HIGH,75,105,190,,G
BFM,030-37-36.4100N,088-04-05.1300W,AIRPORT,Y-L,18/36,2,7800,150,ASPH-CONC-F,MED,76,150,320,,G
BFM,030-37-36.4100N,088-04-05.1300W,AIRPORT,Y-L,14/32,2,9618,150,ASPH-CONC-G,HIGH,75,185,325,,G
IFP,035-09-16.6100N,114-33-33.6000W,AIRPORT,Y-L,16/34,1,8501,150,ASPH-G,MED,75,200,400,,G
P52,034-43-48.2000N,112-02-06.4900W,AIRPORT,Y-L,14/32,1,4250,75,ASPH-G,MED,4,,,,G
FLG,035-08-25.1400N,111-40-09.2700W,AIRPORT,Y-L,03/21,1,8800,150,ASPH-E,HIGH,30,95,140,,G
FHU,031-35-18.5000N,110-20-39.8000W,AIRPORT,Y-L,08/26,4,12001,150,CONC-E,HIGH,75,200,450,700,G
FHU,031-35-18.5000N,110-20-39.8000W,AIRPORT,Y-L,12/30,4,5366,100,ASPH-CONC-G,MED,46,106,137,172,G
GEU,033-31-36.9000N,112-17-42.5000W,AIRPORT,Y-L,01/19,1,7150,100,ASPH-G,MED,40,60,,,G
P13,033-21-11.3000N,110-40-02.5000W,AIRPORT,Y-L,09/27,1,6500,100,ASPH-F,MED,60,,,,F
GYR,033-25-23.8000N,112-22-31.3000W,AIRPORT,Y-L,03/21,2,8500,150,ASPH-G,MED,115,225,505,985,G
IGM,035-15-34.1200N,113-56-16.9800W,AIRPORT,Y-L,17/35,2,6725,75,ASPH-G,MED,22,60,,,G
IGM,035-15-34.1200N,113-56-16.9800W,AIRPORT,Y-L,03/21,2,6827,150,ASPH-G,MED,45,85,125,265,G
HII,034-34-16.0500N,114-21-29.8000W,AIRPORT,Y-L,14/32,1,8000,100,ASPH-F,MED,100,,,,G
MZJ,032-30-35.4000N,111-19-31.2000W,AIRPORT,Y-L,12/30,1,6849,150,ASPH-P,MED,68,100,270,500,P
FFZ,033-27-39.0300N,111-43-41.9700W,AIRPORT,Y-L,04L/22R,2,3799,75,ASPH-G,MED,12,,,,G
FFZ,033-27-39.0300N,111-43-41.9700W,AIRPORT,Y-L,04R/22L,2,5100,100,ASPH-G,MED,38,60,90,,G
OLS,031-25-03.8000N,110-50-52.4000W,AIRPORT,Y-L,03/21,2,7200,100,ASPH-G,MED,21,,,,P
OLS,031-25-03.8000N,110-50-52.4000W,AIRPORT,Y-L,H1,2,97,97,CONC-G,,22,,,,
