Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
EET,ALL/ALL/0700-1900,AIRPORT,Y-L,16/34,5000,75,ASPH-F,MED,16,,,,G
BHM,ALL/ALL/ALL,AIRPORT,Y-L,06/24,12007,150,ASPH-G,HIGH,175,205,350,,F
BHM,ALL/ALL/ALL,AIRPORT,Y-L,18/36,7099,150,ASPH-G,MED,75,170,240,,G
DHN,ALL/ALL/ALL,AIRPORT,Y-L,18/36,5498,100,ASPH-F,HIGH,75,105,190,,G
DHN,ALL/ALL/ALL,AIRPORT,Y-L,14/32,8499,150,ASPH-E,HIGH,75,105,190,,G
BFM,ALL/ALL/0700-2300,AIRPORT,Y-L,18/36,7800,150,ASPH-CONC-F,MED,76,150,320,,G
BFM,ALL/ALL/0700-2300,AIRPORT,Y-L,14/32,9618,150,ASPH-CONC-G,HIGH,75,185,325,,G
IFP,ALL/ALL/ALL,AIRPORT,Y-L,16/34,8501,150,ASPH-G,MED,75,200,400,,G
P52,ALL/ALL/0800-1700,AIRPORT,Y-L,14/32,4250,75,ASPH-G,MED,4,,,,G
FLG,ALL/ALL/ALL,AIRPORT,Y-L,03/21,8800,150,ASPH-E,HIGH,30,95,140,,G
FHU,ALL/MON-FRI/1400-2230Z,AIRPORT,Y-L,08/26,12001,150,CONC-E,HIGH,75,200,450,700,G
FHU,ALL/MON-FRI/1400-2230Z,AIRPORT,Y-L,12/30,5366,100,ASPH-CONC-G,MED,46,106,137,172,G
GEU,ALL/ALL/0630-1930,AIRPORT,Y-L,01/19,7150,100,ASPH-G,MED,40,60,,,G
P13,UNATNDD,AIRPORT,Y-L,09/27,6500,100,ASPH-F,MED,60,,,,F
GYR,ALL/ALL/ALL,AIRPORT,Y-L,03/21,8500,150,ASPH-G,MED,115,225,505,985,G
