airport_numbers,near_by_airport1,near_by_airport2,near_by_airport3
09J,KSSI,KBQK,4J1
14A,KSVH,KIPJ,KJQF
18A,KTOC,KEBA,KAND
1V6,KCOS,KPUB,KANK
22S,KLKV,KLMT,KAAT
2I0,M21,KOWB,2M0
2R4,KNDZ,KNSE,KPNS
32S,KHRF,KMSO,38S
38S,3U3,KBTM,KHLN
46U,KAFO,KJAC,KDIJ
48A,KEZM,KDBN,KWRB
4S2,KDLS,KTTD,KPDX
65S,KSZT,S59,KCOE
6A8,nan,nan,nan
6K4,KJWG,KEND,KAVK
6K8,nan,nan,nan
6S0,KLVM,KHWQ,KBZN
6S3,6S8,KBIL,6S0
6S5,32S,KMSO,3U3
74S,KNUW,KBVS,KFHR
77S,KEUG,KCVO,S12
7AK,nan,nan,nan
7S0,8S1,KMSO,KGPI
88AZ,KFFZ,KIWA,KPAN
8S0,KCTB,KGPI,KSBX
8S1,7S0,KGPI,KMSO
9A3,nan,nan,nan
AAO,KBEC,1K1,KCEA
ABI,KDYS,T23,F56
ABQ,KAEG,KBRG,0.00E+00
ABR,4.00E+07,KBTN,8D7
ACT,KCNW,KPWG,T15
ACV,KEKA,KFOT,KCEC
ACY,26N,N81,KOBI
ADH,F99,KPVJ,KSRE
ADK,nan,nan,nan
ADM,1F0,1F4,KPVJ
ADQ,PAKH,nan,nan
ADS,KDAL,KDFW,KRBD
AEG,KABQ,KBRG,0.00E+00
AFW,4T2,KFTW,KDTO
AGC,G05,KFWQ,KPIT
AGS,KDNL,KBXG,KAIK
AHN,KWDR,KJCA,D73
AIK,6J4,KDNL,KAGS
AIT,KHZX,KBRD,KPWC
AIZ,K15,KOZS,H79
AK15,nan,nan,nan
ALM,KHMN,KSRR,KLRU
ALS,KMVI,KRCV,4V1
ALW,KPDT,KPSC,KHRI
AMA,KTDW,T45,KBGD
ANC,PAMR,PAED,PAFR
ANE,KMIC,KSTP,KMSP
APA,KBKF,KDEN,KCFO
APC,KDVO,O69,KCCR
APF,KMKY,KRSW,KIMM
APV,KVCV,L35,KDAG
AQO,KBMQ,T92,KLZZ
AQW,nan,nan,nan
ASE,KEGE,KLXV,KGUC
AST,KKLS,KTMK,KSPB
ATW,KOSH,KGRB,KPCZ
AUM,KAEL,KTOB,KRST
AUN,KLHM,KGOO,KBAB
AUS,KEDC,3R9,50R
AVL,KFQD,24A,KGSP
AVQ,KRYN,KDMA,KTUS
AWO,S43,KPAE,KOKH
AYPY,nan,nan,nan
AZE,KBHC,KMQW,KAMG
BAK,I34,KOVO,KGEZ
BAM,KWMC,KEKO,05U
BBG,KPLK,KFWB,KHRO
BCT,KPMP,KFXE,KLNA
BDL,KHFD,KBAF,KCEF
BDN,KRDM,S21,S39
BDR,KHVN,KOXC,KDXR
BEA,TX2,8T6,KNGT
BET,PAPK,PANA,PFKW
BFF,KTOR,KAIA,KIBM
BFI,KRNT,KSEA,S50
BFL,L45,KMIT,KDLO
BFM,KMOB,2R5,KCQF
BGQ,PAWS,PAUO,PAFR
BGR,KOLD,1B0,2B7
BGSF,nan,nan,nan
BHK,KBWW,KGDV,KDIK
BHM,KEKY,KEET,KPLR
BIG,nan,nan,nan
BIL,6S8,00U,KRPX
BIS,Y19,7L2,D57
BJC,KEIK,KLMO,KDEN
BJI,Y49,KFSE,KPKD
BKE,KLGD,S87,KGCD
BKS,KIKG,KNQI,KALI
BKV,KINF,KZPH,KCGC
BLI,KORS,KBVS,KFHR
BMT,KBPT,45R,KORG
BNA,KMQY,KJWN,M54
BNO,KGCD,KONO,KBKE
BOI,KMAN,KEUL,U76
BOW,KGIF,X07,KLAL
BPG,KMDD,KMAF,KLUV
BRD,KAIT,KRYM,KPWC
BRG,KABQ,KAEG,KONM
BRW,PATQ,PAWI,nan
BTF,KSLC,U42,KHIF
BTM,3U3,KRVF,38S
BUR,KWHP,KVNY,KSMO
BVO,KIDP,KCFV,KTUL
BVS,KNUW,KOKH,KBLI
BVU,KHND,KLAS,KLSV
BWG,4M7,1M5,KGLW
BWI,KFME,KANP,W00
BZN,KLVM,KEKS,6S0
C35,KDLL,91C,82C
C83,KTCY,KLVK,KSCK
CAT4,nan,nan,nan
CBS8,nan,nan,nan
CDB,nan,nan,nan
CDC,U55,U52,KMLF
CDS,3F6,O35,2K4
CDV,PAKA,PAVD,PAMD
CEC,4S1,KACV,3S8
CEW,KEGI,KVPS,0J4
CEZ,KFMN,KDRO,KBDG
CGI,KCIR,KSIK,KCHQ
CHA,KAPT,9A5,KRZR
CHS,KJZI,KLRO,KDYB
CIC,O37,KOVE,KWLW
CLL,KCFD,KRWV,60R
CLM,KNOW,0S9,KFHR
CLW,KPIE,KTPA,KSPG
CMA,KOXR,KNTD,KVNY
CNI,KJZP,49A,KRYY
CNO,KAJO,KONT,KCCB
CNY,KGJT,KAIB,69V
COD,KPOY,U68,KGEY
COE,KSFF,KDEW,KGEG
COQ,KDLH,KSUW,KDYT
COS,1V6,KPUB,KAPA
CPR,KDGW,KRWL,KEAN
CPS,KSTL,KBLV,1H0
CRG,KNRB,KNIP,KJAX
CRP,KRBO,KNGP,T69
CRQ,KOKB,KNFG,L18
CTB,KSBX,S01,KCII
CTJ,KPUJ,4A4,KCCO
CUB,KCAE,KMMT,6J0
CVN,KCVS,KPRZ,2T1
CVO,S12,KEUG,KSLE
CXO,KDWH,6R3,KIAH
CXP,KMEV,KRNO,KTRK
CXY,KMDT,58N,N71
CYCD,KBLI,KNOW,KCLM
CYCQ,nan,nan,nan
CYLW,KCYW,K38,KCNK
CYQL,KCYW,K38,KCNK
CYQT,nan,nan,nan
CYS,KLAR,KFNL,KGXY
CYSU,nan,nan,nan
CYVR,KBLI,KFHR,KBVS
CYXE,nan,nan,nan
CYXX,KBVS,KFHR,KNUW
CYXY,nan,nan,nan
CYYC,nan,nan,nan
CYYF,nan,nan,nan
CYYG,nan,nan,nan
CYYJ,KNOW,KCLM,KNUW
CYYR,nan,nan,nan
CYZU,nan,nan,nan
CZBB,KFHR,KBVS,KNUW
DAG,KAPV,KVCV,L35
DAL,KADS,KDFW,KRBD
DBQ,KPVB,KOQW,KMXO
DEW,KSFF,KGEG,KSKA
DFI,0G6,7W5,KUSE
DHN,KHDL,KHEY,71J
DIK,9Y1,D57,KBWW
DKX,KTYS,KGKT,KJAU
DLG,nan,nan,nan
DLH,KDYT,KSUW,KCOQ
DLN,KRVF,KEKS,KBTM
DLS,KTTD,S33,KPDX
DMA,KRYN,KAVQ,KFHU
DMN,KSVC,KLRU,KDNA
DNL,KAGS,KAIK,KHQU
DPA,KARR,1C5,KORD
DPG,KDTA,KPVU,U14
DRO,KFMN,KPSO,KCEZ
DTO,KAFW,KLUD,4T2
DUT,nan,nan,nan
DVT,KSDL,KGEU,KPHX
DZB,KBMQ,KRYW,3R9
E25,KLUF,KGEU,KGYR
EAR,0V3,KHDE,KHSI
EAT,KELN,KEPH,KMWH
ECP,54J,KBCR,KDTS
EDF,PAMR,PAFR,PANC
EDN,KLOR,KOZR,KHEY
EED,KHII,KIFP,P20
EEN,KAFN,KORE,0B5
EET,KEKY,0A8,02A
EFD,T41,KHOU,KLVJ
EGE,KASE,20V,KLXV
EGTC,nan,nan,nan
EKO,KBAM,10U,05U
EKQ,K24,KSME,18I
ELO,12D,KCQM,KEVM
ELP,KBIF,KDNA,KLRU
ELY,05U,KENV,nan
EMT,KPOC,KFUL,KLGB
ENA,PASX,PANC,PAMR
ENN,PAFA,PAHV,PAFB
ENV,KDPG,KTVY,KEKO
ENW,KUGN,KRAC,C81
EQY,N52,KCLT,KLKR
EUG,77S,KCVO,S12
