Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator
ADK,051-53-00.9000N,176-38-32.9400W,AIRPORT,Y
7AK,054-08-40.6000N,165-36-14.7900W,AIRPORT,Y-L
6A8,066-33-06.6000N,152-37-19.8000W,AIRPORT,Y-L
BIG,063-59-42.6000N,145-43-12.2000W,AIRPORT,Y
AK15,070-20-39.4000N,150-56-41.1000W,AIRPORT,Y-L
BET,060-46-42.8000N,161-50-13.8000W,AIRPORT,Y-L
BGQ,061-32-04.8600N,149-48-45.1700W,AIRPORT,Y-L
9A3,061-34-44.6000N,159-12-56.3000W,AIRPORT,Y-L
CDB,055-12-21.3000N,162-43-34.5000W,AIRPORT,Y
DLG,059-02-40.8000N,158-30-19.8000W,AIRPORT,Y
GAL,064-44-10.2800N,156-56-04.4000W,AIRPORT,Y
EDF,061-15-04.8700N,149-48-23.4900W,AIRPORT,Y
FAI,064-48-55.2800N,147-51-24.0000W,AIRPORT,Y-L
FYU,066-34-20.7000N,145-14-46.8000W,AIRPORT,Y-L
GKN,062-09-15.6000N,145-27-19.0500W,AIRPORT,Y-L
GST,058-25-31.0000N,135-42-26.7000W,AIRPORT,Y
HNS,059-14-37.7900N,135-31-24.7400W,AIRPORT,Y-L
HOM,059-38-41.9800N,151-29-08.9100W,AIRPORT,Y-L
HPB,061-31-25.9300N,166-08-47.8400W,AIRPORT,Y-L
HLA,065-41-52.3000N,156-21-05.0000W,AIRPORT,Y-L
JNU,058-21-16.9600N,134-34-42.4900W,AIRPORT,Y-L
ENA,060-34-23.8000N,151-14-41.4000W,AIRPORT,Y-L
KTN,055-21-14.7000N,131-42-40.4000W,AIRPORT,Y-L
KVC,055-06-58.9800N,162-15-59.5300W,AIRPORT,Y-L
ADQ,057-44-59.2600N,152-29-38.2000W,AIRPORT,Y-L
FBK,064-50-15.4000N,147-36-52.1700W,AIRPORT,Y
MLY,064-59-16.6000N,150-38-51.3000W,AIRPORT,Y-L
MCG,062-57-10.0200N,155-36-25.3700W,AIRPORT,Y-L
CDV,060-29-29.9000N,145-28-39.2100W,AIRPORT,Y-L
MRI,061-12-48.7700N,149-50-40.9500W,AIRPORT,Y-L
ENN,064-32-50.2800N,149-04-26.1300W,AIRPORT,Y-L
OME,064-30-45.2000N,165-26-39.8000W,AIRPORT,Y
NUL,064-43-45.6000N,158-04-27.2000W,AIRPORT,Y-L
PSG,056-48-05.3000N,132-56-46.4000W,AIRPORT,Y-L
TAL,065-10-27.8000N,152-06-29.2000W,AIRPORT,Y-L
SDP,055-18-49.3000N,160-31-17.1300W,AIRPORT,Y-L
SIT,057-02-48.6000N,135-21-39.8500W,AIRPORT,Y-L
SXQ,060-28-30.5000N,151-02-22.7000W,AIRPORT,Y-L
PBV,056-34-38.5000N,169-39-49.4000W,AIRPORT,Y-L
SNP,057-09-58.7000N,170-13-21.2000W,AIRPORT,Y
ANC,061-10-26.7000N,149-59-53.3000W,AIRPORT,Y-L
6K8,063-19-46.2500N,142-57-13.2600W,AIRPORT,Y-L
UBW,070-19-50.4000N,149-35-53.0000W,AIRPORT,Y-L
DUT,053-53-56.2000N,166-32-42.1000W,AIRPORT,Y-L
VDZ,061-08-03.2000N,146-14-41.1700W,AIRPORT,Y-L
PAQ,061-35-41.7000N,149-05-19.4000W,AIRPORT,Y
BRW,071-17-05.5000N,156-46-06.9000W,AIRPORT,Y-L
WRG,056-29-03.6000N,132-22-11.4000W,AIRPORT,Y-L
YAK,059-30-11.9600N,139-39-36.9700W,AIRPORT,Y-L
BHM,033-33-50.0000N,086-45-08.3000W,AIRPORT,Y-L
DHN,031-19-15.7000N,085-26-58.1000W,AIRPORT,Y-L
EDN,031-17-59.0000N,085-53-59.4000W,AIRPORT,Y-L
BFM,030-37-36.4100N,088-04-05.1300W,AIRPORT,Y-L
