Dep_Airport_ID,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
EET,16/34,5000,75,ASPH-F,MED,16,,,,G
BHM,06/24,12007,150,ASPH-G,HIGH,175,205,350,,F
BHM,18/36,7099,150,ASPH-G,MED,75,170,240,,G
DHN,18/36,5498,100,ASPH-F,HIGH,75,105,190,,G
DHN,14/32,8499,150,ASPH-E,HIGH,75,105,190,,G
EDN,05/23,5080,100,ASPH-G,MED,,,,,F
BFM,18/36,7800,150,ASPH-CONC-F,MED,76,150,320,,G
BFM,14/32,9618,150,ASPH-CONC-G,HIGH,75,185,325,,G
IFP,16/34,8501,150,ASPH-G,MED,75,200,400,,G
P52,14/32,4250,75,ASPH-G,MED,4,,,,G
FLG,03/21,8800,150,ASPH-E,HIGH,30,95,140,,G
FHU,03/21,4285,75,ASPH-CONC-G,MED,,,,,G
FHU,08/26,12001,150,CONC-E,HIGH,75,200,450,700,G
FHU,12/30,5366,100,ASPH-CONC-G,MED,46,106,137,172,G
FHU,H1,40,40,ASPH,PERI,,,,,
GEU,01/19,7150,100,ASPH-G,MED,40,60,,,G
P13,09/27,6500,100,ASPH-F,MED,60,,,,F
GYR,03/21,8500,150,ASPH-G,MED,115,225,505,985,G
GYR,H1,64,64,CONC,PERI,,,,,
IGM,17/35,6725,75,ASPH-G,MED,22,60,,,G
IGM,03/21,6827,150,ASPH-G,MED,45,85,125,265,G
HII,14/32,8000,100,ASPH-F,MED,100,,,,G
MZJ,12/30,6849,150,ASPH-P,MED,68,100,270,500,P
FFZ,04L/22R,3799,75,ASPH-G,MED,12,,,,G
FFZ,04R/22L,5100,100,ASPH-G,MED,38,60,90,,G
OLS,03/21,7200,100,ASPH-G,MED,21,,,,P
OLS,H1,97,97,CONC-G,,22,,,,
PGA,15/33,5950,150,ASPH-G,MED,65,90,190,,G
PGA,07/25,2201,75,ASPH-G,,,12,,,F
P20,01/19,6250,100,ASPH-G,MED,30,50,,,P
PAN,H1,50,50,CONC-G,,,,,,
PAN,06/24,5504,75,ASPH-G,MED,40,50,100,,G
DVT,07R/25L,8196,100,ASPH-G,MED,20,91,255,,G
DVT,07L/25R,4500,75,ASPH-G,MED,70,117,,,G
IWA,12C/30C,10201,150,ASPH-CONC-G,HIGH,55,95,185,550,G
IWA,12L/30R,9300,150,CONC-G,HIGH,75,210,590,850,G
IWA,12R/30L,10401,150,CONC-G,MED,55,95,185,550,G
PHX,07R/25L,7800,150,CONC-G,HIGH,30,200,400,1010,G
PHX,07L/25R,10300,150,CONC-G,HIGH,30,235,435,940,G
PHX,08/26,11489,150,CONC-G,HIGH,30,200,455,965,G
PRC,03L/21R,4846,60,ASPH-G,MED,12,,,,
PRC,03R/21L,7619,150,ASPH-G,MED,63,80,100,,G
PRC,12/30,4408,75,ASPH-G,MED,12,,,,G
88AZ,17/35,3800,40,ASPH-CONC,,,,,,
SAD,12/30,6007,100,ASPH-G,MED,33,,,,G
SAD,08/26,4802,60,ASPH-G,MED,23,,,,G
SAD,H1,72,72,CONC,MED,,,,,
SEZ,03/21,5132,100,ASPH-G,MED,15,30,,,G
SEZ,H1,50,50,CONC-G,FLD,,,,,
SDL,03/21,8249,100,ASPH-G,MED,45,75,,,G
JTC,11/29,4603,60,ASPH-G,MED,19,,,,P
JTC,03/21,8422,75,ASPH-G,MED,30,,,,G
AVQ,12/30,6901,100,ASPH-G,MED,75,100,300,,G
AVQ,03/21,3892,75,ASPH-G,MED,75,100,150,,G
TUS,03/21,7000,150,ASPH-G,MED,105,137,230,500,G
TUS,11L/29R,10996,150,ASPH-G,HIGH,160,200,350,585,G
TUS,11R/29L,8408,75,ASPH-G,MED,120,140,220,,G
DMA,12/30,13643,200,PEM,HIGH,,,,,
RYN,06L/24R,4900,75,ASPH-G,MED,12,30,,,F
RYN,06R/24L,5500,75,ASPH-G,MED,12,30,,,G
RYN,15/33,4010,75,ASPH-F,MED,,,,,G
E25,05/23,6101,75,ASPH-G,MED,30,60,,,G
INW,04/22,7499,150,ASPH-G,MED,50,80,125,,F
INW,11/29,7100,150,ASPH-F,MED,60,70,110,,F
NYL,03R/21L,9240,150,ASPH-CONC-G,HIGH,162,200,400,,G
NYL,08/26,6146,150,ASPH-G,HIGH,63,137,206,,G
NYL,17/35,5710,150,ASPH-CONC-G,HIGH,72,171,255,,G
NYL,03L/21R,13300,200,CONC-G,HIGH,103,200,400,,G
FYV,16/34,6005,100,ASPH-G,MED,90,150,175,,G
FSM,02/20,5001,150,ASPH-G,MED,55,70,120,,G
FSM,08/26,8017,150,ASPH-G,HIGH,75,175,295,,G
HOT,05/23,6595,150,ASPH-G,HIGH,75,125,210,400,G
HOT,13/31,4098,100,ASPH-G,MED,28,36,63,,G
JBR,05/23,6200,150,ASPH-G,MED,40,48,76,,P
JBR,13/31,4099,150,ASPH-G,MED,50,60,95,,F
LIT,04R/22L,8251,150,CONC-G,HIGH,75,200,350,,G
LIT,04L/22R,8273,150,CONC-G,HIGH,75,200,350,,G
LIT,18/36,6224,150,CONC-G,MED,75,100,135,,G
SGT,09/27,5002,150,CONC-G,MED,25,65,120,,F
SGT,18/36,6015,100,ASPH-G,MED,75,150,200,300,G
TXK,04/22,6601,150,ASPH-G,HIGH,50,86,120,,G
TXK,13/31,5200,100,ASPH-G,MED,25,,,,G
APV,08/26,4099,60,ASPH-P,,40,60,100,,P
APV,18/36,6498,150,ASPH-F,MED,70,90,150,,F
ACV,01/19,4501,150,ASPH-G,MED,60,95,170,,F
ACV,14/32,6046,150,ASPH-G,HIGH,60,155,280,,G
AUN,07/25,3700,75,ASPH-G,MED,30,,,,G
BFL,12R/30L,7700,100,ASPH-E,MED,18,,,,G
BFL,12L/30R,10849,150,ASPH-G,HIGH,96,155,260,654,G
L35,08/26,5850,75,ASPH-G,MED,12,,,,G
BUR,15/33,6886,150,ASPH-CONC-E,MED,120,201,352,839,G
BUR,08/26,5802,150,ASPH-CONC-E,HIGH,120,201,352,839,G
C83,12/30,4500,100,ASPH-G,MED,29,,,,G
C83,05/23,3000,75,ASPH-G,MED,29,,,,G
CMA,08/26,6013,150,ASPH-CONC-G,MED,50,80,125,,G
CRQ,H1,40,50,CONC-G,HIGH,,,,,G
CRQ,06/24,4897,150,ASPH-G,HIGH,60,80,110,,G
CIC,13R/31L,3000,60,ASPH-F,,12,,,,F
CIC,H1,64,64,CONC-G,,35,,,,
CIC,13L/31R,6724,150,ASPH-G,HIGH,63,100,170,,G
CNO,08L/26R,4858,150,ASPH-G,HIGH,12,,,,G
CNO,08R/26L,7000,150,ASPH-G,MED,75,150,215,,G
CNO,03/21,4919,150,ASPH-G,MED,21,130,,50,G
O22,11/29,2607,50,TURF-G,,,,,,
O22,17/35,4673,75,ASPH-G,MED,30,,,,F
CEC,12/30,5002,150,ASPH-F,HIGH,30,43,,,F
CEC,18/36,5000,150,ASPH-F,MED,30,43,,,F
DAG,08/26,6402,150,ASPH-F,MED,30,170,320,,F
DAG,04/22,5123,100,ASPH-F,MED,30,105,190,,F
EMT,01/19,3995,75,ASPH-G,MED,12,,,,G
FOT,11/29,4004,100,ASPH-G,MED,30,,,,F
FAT,11L/29R,9539,150,ASPH-G,HIGH,70,170,250,,G
FAT,11R/29L,8008,150,ASPH-G,MED,70,170,250,,G
FUL,06/24,3121,75,ASPH-G,MED,12,,,,G
FUL,H1,37,37,CONC,,,,,,
HAF,12/30,5000,150,ASPH-CONC-F,MED,30,200,360,,G
HMT,04/22,2014,25,ASPH-F,,,,,,F
HMT,05/23,4315,100,ASPH-G,MED,80,130,,,G
WJF,06/24,7201,150,ASPH-G,MED,50,68,117,,G
NLC,14L/32R,13502,200,CONC,HIGH,,,,,
NLC,14R/32L,13501,200,CONC,HIGH,,,,,
LHM,15/33,6001,100,ASPH-G,MED,30,60,,,G
LHM,H1,60,60,CONC,PERI,,,,,
LVK,07L/25R,5253,100,ASPH-E,HIGH,45,90,,,G
LVK,07R/25L,2699,75,ASPH-E,MED,12,,,,G
LVK,H1,24,22,ASPH-G,,,,,,
LGB,H5,20,20,ASPH-G,,,,,,G
LGB,H4,20,20,ASPH-G,,,,,,G
LGB,H3,300,35,ASPH-G,,,,,,G
LGB,H2,20,20,ASPH-G,,,,,,G
LGB,12/30,10000,200,ASPH-G,HIGH,30,200,300,,G
LGB,08R/26L,3918,100,ASPH-G,HIGH,30,75,,,G
LGB,08L/26R,6192,150,ASPH-E,MED,30,70,110,,G
SLI,04L/22R,5901,150,PEM,MED,,,,,
SLI,04R/22L,7999,200,ASPH-CONC,HIGH,,,,,
WHP,12/30,4120,75,ASPH-G,MED,12,,,,G
LAX,07L/25R,12923,150,CONC-G,HIGH,175,225,400,900,G
LAX,06R/24L,10885,150,CONC-G,HIGH,175,225,400,900,G
LAX,06L/24R,8926,150,ASPH-CONC-G,HIGH,175,225,400,900,G
LAX,07R/25L,11095,200,ASPH-CONC-G,HIGH,175,225,400,900,G
MER,13/31,11802,150,ASPH-CONC-G,HIGH,155,200,415,720,G
MCE,12/30,5914,150,ASPH-G,HIGH,30,100,155,,G
MOD,10L/28R,5904,150,ASPH-G,HIGH,60,200,400,,G
MOD,10R/28L,3464,100,ASPH-G,MED,30,,,,G
SIY,17/35,7490,150,ASPH-G,MED,60,180,270,,G
MRY,10L/28R,3503,60,ASPH-F,MED,12,,,,G
MRY,10R/28L,7175,150,ASPH-G,HIGH,100,160,300,,G
NUQ,14L/32R,9197,200,CONC,HIGH,,,,,G
NUQ,14R/32L,8121,200,ASPH,HIGH,,,,,G
APC,01R/19L,2510,75,ASPH-G,,13,,,,G
APC,01L/19R,5930,150,ASPH-G,MED,102,134,120,,G
APC,06/24,5008,150,CONC-F,MED,60,76,120,,G
EED,11/29,5005,100,ASPH-P,MED,16,32,,,F
EED,02/20,4235,100,ASPH-F,MED,16,32,,,F
OAK,10R/28L,6213,150,ASPH-G,HIGH,75,210,500,900,G
OAK,12/30,10520,150,ASPH-G,HIGH,75,210,500,900,G
OAK,15/33,3376,75,ASPH-G,MED,12,65,100,,G
OAK,10L/28R,5457,150,ASPH-G,HIGH,75,210,500,900,G
ONT,08R/26L,10200,150,CONC-G,HIGH,30,200,560,850,G
