,Loc Id,Facility Type,Wind Indicator,ARP Latitude DD,ARP Longitude DD,Runway Id,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,ICAO Id,Runway Id_y
0,18AA,AIRPORT,,59.3650472222222,-135.804905555556,08/26,TURF,,,,,,,,1
1,AA35,HELIPORT,,59.4375555555556,-136.229361111111,H1,GRVL,,,,,,,,1
2,AK46,AIRPORT,N,61.6288305555556,-149.043188888889,07/25,GRVL,,,,,,,,1
3,ADK,AIRPORT,Y,51.8835827777778,-176.642482222222,05/23,ASPH-G,HIGH,80.0,145.0,325.0,770.0,G,PADK,1
4,9AA9,AIRPORT,,59.4030555555556,-136.019444444444,18/36,DIRT,,,,,,,,1
5,5AK3,AIRPORT,N,64.7731872222222,-147.333802222222,15/33,GRAVEL,,,,,,,,1
6,AK10,AIRPORT,,61.7172222222222,-150.109444444444,15/33,TURF-GRVL,,,,,,,,1
7,AKK,AIRPORT,Y,56.9386908333333,-154.182555555556,04/22,GRAVEL-F,,,,,,G,PAKH,1
8,Z13,AIRPORT,Y-L,60.9138097222222,-161.493329166667,01/19,GRAVEL-G,MED,,,,,,PFZK,1
9,KKI,SEAPLANE BASE,N,60.9078647222222,-161.435077222222,E/W,WATER,,,,,,,,2
10,KKI,SEAPLANE BASE,N,60.9078647222222,-161.435077222222,NW/SE,WATER,,,,,,,,2
11,AKI,AIRPORT,Y-L,60.9028972222222,-161.230583333333,03/21,GRVL-G,MED,,,,,,PFAK,1
12,7AK,AIRPORT,Y-L,54.1446111111111,-165.604108333333,09/27,ASPH,MED,120.0,250.0,,,F,PAUT,1
13,KQA,SEAPLANE BASE,Y,54.1339,-165.778383333333,E/W,WATER-E,,,,,,,,1
14,AUK,AIRPORT,Y-L,62.6830555555556,-164.722194444444,16/34,GRVL-DIRT-G,MED,,,,,,PAUK,1
15,AK94,HELIPORT,,58.3907805555556,-134.7768,H1,GRVL,,,,,,,,1
16,AK01,AIRPORT,,60.5289833333333,-150.625133333333,06/24,GRVL,,,,,,,,1
17,AA08,HELIPORT,,61.5947222222222,-149.153888888889,H1,ASPH-TURF,,,,,,,,1
18,2OK,HELIPORT,Y-L,61.2127027777778,-149.826583333333,H1,ASPH-E,PERI,,,,,G,,1
19,Z33,SEAPLANE BASE,N,59.2739780555556,-158.623589166667,E/W,WATER,,,,,,,,1
20,4AK7,AIRPORT,N,59.2809233333333,-158.597200277778,03/21,GRVL-DIRT,,,,,,,,2
21,4AK7,AIRPORT,N,59.2809233333333,-158.597200277778,09/27,GRAVEL,,,,,,,,2
22,5A8,AIRPORT,Y,59.2825555555556,-158.617866666667,15/33,GRAVEL-G,,,,,,,,1
23,ALZ,SEAPLANE BASE,Y,56.8994872222222,-154.247846666667,NE/SW,WATER,,,,,,,,1
24,6A8,AIRPORT,Y-L,66.5518333333333,-152.622166666667,05/23,GRAVEL-G,MED,,,,,,PFAL,1
25,BIG,AIRPORT,Y,63.9951666666667,-145.720055555556,07/25,ASPH-G,MED,,,,,G,PABI,3
26,BIG,AIRPORT,Y,63.9951666666667,-145.720055555556,01/19,ASPH-G,HIGH,,,,,G,PABI,3
27,BIG,AIRPORT,Y,63.9951666666667,-145.720055555556,10/28,ASPH-G,HIGH,,,,,G,PABI,3
28,AK77,AIRPORT,,63.9414277777778,-145.422225,09/27,TURF-GRVL,,,,,,,,1
29,AK15,AIRPORT,Y-L,70.3442777777778,-150.94475,03/21,GRVL,MED,,,,,,PALP,1
30,A57,AIRPORT,Y,59.1991333333333,-138.445877777778,07/25,TURF-F,,,,,,,,1
31,AK42,HELIPORT,Y,60.97,-149.101388888889,H1,MATS-E,PERI,,,,,,,1
32,AFM,AIRPORT,Y-L,67.1062005555555,-157.857155833333,10/28,GRVL-DIRT-G,MED,,,,,F,PAFM,2
