Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Schedule,"Runway ID",Length,Width,"Surface Type Condition","Edge Light Intensity","WBC Single","WBC Dual","WBC Two Dual","WBC Tandem Two Dual","Base Marking Condition"
ADK,051-53-00.9000N,176-38-32.9400W,ALL/SAT-WED/0800-1600,05/23,7790,200,ASPH-G,HIGH,80,145,325,770,G
7AK,054-08-40.6000N,165-36-14.7900W,ALL/ALL/0700-1900,09/27,4500,75,ASPH,MED,120,250,,,F
6A8,066-33-06.6000N,152-37-19.8000W,UNATNDD,05/23,4000,100,GRAVEL-G,MED,,,,,
BIG,063-59-42.6000N,145-43-12.2000W,ALL/MON-FRI/1715-0100Z++,10/28,6115,150,ASPH-G,HIGH,,,,,G
BIG,063-59-42.6000N,145-43-12.2000W,ALL/MON-FRI/1715-0100Z++,01/19,9000,150,ASPH-G,HIGH,,,,,G
BIG,063-59-42.6000N,145-43-12.2000W,ALL/MON-FRI/1715-0100Z++,07/25,4057,88,ASPH-G,MED,,,,,G
AK15,070-20-39.4000N,150-56-41.1000W,,03/21,5005,100,GRVL,MED,,,,,
BET,060-46-42.8000N,161-50-13.8000W,MAR-OCT/SAT-SUN/0700-2200,01R/19L,4000,75,ASPH-G,HIGH,,,,,G
BET,060-46-42.8000N,161-50-13.8000W,NOV-APR/MON-FRI/0500-2100,01R/19L,4000,75,ASPH-G,HIGH,,,,,G
BET,060-46-42.8000N,161-50-13.8000W,NOV-APR/SAT-SUN/0700-2100,01R/19L,4000,75,ASPH-G,HIGH,,,,,G
BET,060-46-42.8000N,161-50-13.8000W,MAR-OCT/MON-FRI/0630-2200,01R/19L,4000,75,ASPH-G,HIGH,,,,,G
BET,060-46-42.8000N,161-50-13.8000W,MAR-OCT/SAT-SUN/0700-2200,01L/19R,6400,150,ASPH-F,HIGH,105,147,244,,F
BET,060-46-42.8000N,161-50-13.8000W,NOV-APR/MON-FRI/0500-2100,01L/19R,6400,150,ASPH-F,HIGH,105,147,244,,F
