Loc Id,Facility Type,Wind Indicator,Runway Id,Length,Width,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,Schedule,Schedule,,
ADK,AIRPORT,Y,05/23,7790,200,ASPH-G,HIGH,80,145,325,770,G,ALL/SAT-WED/0800-1600,ALL,SAT-WED,0800-1600
7AK,AIRPORT,Y-L,09/27,4500,75,ASPH,MED,120,250,,,F,ALL/ALL/0700-1900,ALL,ALL,0700-1900
6A8,AIRPORT,Y-L,05/23,4000,100,GRAVEL-G,MED,,,,,,UNATNDD,UNATNDD,,
BIG,AIRPORT,Y,07/25,4057,88,ASPH-G,MED,,,,,G,ALL/MON-FRI/1715-0100Z++,ALL,MON-FRI,1715-0100Z++
BIG,AIRPORT,Y,01/19,9000,150,ASPH-G,HIGH,,,,,G,ALL/MON-FRI/1715-0100Z++,ALL,MON-FRI,1715-0100Z++
BIG,AIRPORT,Y,10/28,6115,150,ASPH-G,HIGH,,,,,G,ALL/MON-FRI/1715-0100Z++,ALL,MON-FRI,1715-0100Z++
AK15,AIRPORT,Y-L,03/21,5005,100,GRVL,MED,,,,,,,,,
BET,AIRPORT,Y-L,12/30,1858,75,GRVL-G,HIGH,,,,,,MAR-OCT/MON-FRI/0630-2200,MAR-OCT,MON-FRI,0630-2200
BET,AIRPORT,Y-L,12/30,1858,75,GRVL-G,HIGH,,,,,,NOV-APR/SAT-SUN/0700-2100,NOV-APR,SAT-SUN,0700-2100
BET,AIRPORT,Y-L,12/30,1858,75,GRVL-G,HIGH,,,,,,NOV-APR/MON-FRI/0500-2100,NOV-APR,MON-FRI,0500-2100
BET,AIRPORT,Y-L,12/30,1858,75,GRVL-G,HIGH,,,,,,MAR-OCT/SAT-SUN/0700-2200,MAR-OCT,SAT-SUN,0700-2200
BET,AIRPORT,Y-L,01L/19R,6400,150,ASPH-F,HIGH,105,147,244,,F,MAR-OCT/MON-FRI/0630-2200,MAR-OCT,MON-FRI,0630-2200
BET,AIRPORT,Y-L,01L/19R,6400,150,ASPH-F,HIGH,105,147,244,,F,NOV-APR/SAT-SUN/0700-2100,NOV-APR,SAT-SUN,0700-2100
BET,AIRPORT,Y-L,01L/19R,6400,150,ASPH-F,HIGH,105,147,244,,F,NOV-APR/MON-FRI/0500-2100,NOV-APR,MON-FRI,0500-2100
BET,AIRPORT,Y-L,01L/19R,6400,150,ASPH-F,HIGH,105,147,244,,F,MAR-OCT/SAT-SUN/0700-2200,MAR-OCT,SAT-SUN,0700-2200
BET,AIRPORT,Y-L,01R/19L,4000,75,ASPH-G,HIGH,,,,,G,MAR-OCT/MON-FRI/0630-2200,MAR-OCT,MON-FRI,0630-2200
BET,AIRPORT,Y-L,01R/19L,4000,75,ASPH-G,HIGH,,,,,G,NOV-APR/SAT-SUN/0700-2100,NOV-APR,SAT-SUN,0700-2100
BET,AIRPORT,Y-L,01R/19L,4000,75,ASPH-G,HIGH,,,,,G,NOV-APR/MON-FRI/0500-2100,NOV-APR,MON-FRI,0500-2100
BET,AIRPORT,Y-L,01R/19L,4000,75,ASPH-G,HIGH,,,,,G,MAR-OCT/SAT-SUN/0700-2200,MAR-OCT,SAT-SUN,0700-2200
BGQ,AIRPORT,Y-L,07/25,2450,70,GRAVEL-G,MED,,,,,G,UNATNDD,UNATNDD,,
9A3,AIRPORT,Y-L,09/27,3401,60,GRVL-DIRT-G,MED,,,,,,UNATNDD,UNATNDD,,
CDB,AIRPORT,Y,08/26,4900,150,ASPH-G,HIGH,99,131,345,,G,ALL/MON - SAT/0700 - 1800,ALL,MON - SAT,0700 - 1800
CDB,AIRPORT,Y,15/33,10179,150,ASPH-G,HIGH,99,200,345,875,G,ALL/MON - SAT/0700 - 1800,ALL,MON - SAT,0700 - 1800
DLG,AIRPORT,Y,01/19,6400,150,ASPH-G,HIGH,116,186,300,726,G,ALL/ALL/0700-1730,ALL,ALL,0700-1730
GAL,AIRPORT,Y,06/24,2600,50,GRAVEL-G,,,,,,F,OCT-APR/MON-FRI/0600-1700,OCT-APR,MON-FRI,0600-1700
GAL,AIRPORT,Y,08/26,6000,100,ASPH-F,MED,110,144,240,,F,OCT-APR/MON-FRI/0600-1700,OCT-APR,MON-FRI,0600-1700
EDF,AIRPORT,Y,16/34,7493,150,ASPH,HIGH,,,,,G,ALL/ALL/ALL,ALL,ALL,ALL
EDF,AIRPORT,Y,06/24,10000,200,ASPH,HIGH,,,,,G,ALL/ALL/ALL,ALL,ALL,ALL
FAI,AIRPORT,Y-L,02W/20W,5400,100,WATER,,,,,,G,ALL/ALL/ALL,ALL,ALL,ALL
FAI,AIRPORT,Y-L,02/20,2900,75,GRVL,,,,,,,ALL/ALL/ALL,ALL,ALL,ALL
FAI,AIRPORT,Y-L,02L/20R,11800,150,ASPH-G,HIGH,75,220,580,1100,G,ALL/ALL/ALL,ALL,ALL,ALL
FAI,AIRPORT,Y-L,02R/20L,4510,75,ASPH-G,MED,,,,,G,ALL/ALL/ALL,ALL,ALL,ALL
FYU,AIRPORT,Y-L,04/22,5000,100,GRVL-DIRT-G,MED,,,,,G,UNATNDD,UNATNDD,,
GKN,AIRPORT,Y-L,15L/33R,5001,100,ASPH-G,MED,,,,,G,JUN-SEP/MON-FRI/0900-1700,JUN-SEP,MON-FRI,0900-1700
GKN,AIRPORT,Y-L,15L/33R,5001,100,ASPH-G,MED,,,,,G,OCT-MAY/MON-FRI/1000-1500,OCT-MAY,MON-FRI,1000-1500
