Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
0J0,UNATNDD,AIRPORT,Y-L
AL70,UNATNDD,HELIPORT,Y
2A8,UNATNDD,AIRPORT,Y
AL66,UNATNDD,HELIPORT,Y-L
8A0,ALL/MON-SAT/0700-DUSK,AIRPORT,Y-L
8A0,ALL/SUN/1230-DUSK,AIRPORT,Y-L
05AL,"ATTENDED DURG SKED TRNG.",HELIPORT,
04AL,ALL/MON-FRI/0800-1630,HELIPORT,Y
ANB,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
ANB,ALL/MON-FRI/0700-1800,AIRPORT,Y-L
1M3,ALL/MON-FRI/DALGT,AIRPORT,Y
AL73,UNATNDD,HELIPORT,Y
26A,UNATNDD,AIRPORT,Y-L
5AL9,UNATNDD,HELIPORT,
0R1,ALL/MON-FRI/0700-1700,AIRPORT,Y-L
AUO,ALL/MON-FRI/0700-1900,AIRPORT,Y-L
AUO,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
AL88,ALL/ALL/ALL,AIRPORT,Y
AL11,ALL/ALL/ALL,HELIPORT,Y-L
AL50,ALL/ALL/ALL,HELIPORT,Y-L
NBJ,ALL/SAT-SUN/CLSD,AIRPORT,
NBJ,ALL/MON-FRI/1330-2330Z+,AIRPORT,
NBJ,ALL/HOLS/CLSD,AIRPORT,
02AL,UNATNDD,AIRPORT,Y
57AL,UNATNDD,AIRPORT,Y
1R8,ALL/ALL/0800-1700,AIRPORT,Y-L
54AL,UNATNDD,AIRPORT,
AL37,IRREG,AIRPORT,Y
1AL5,UNATNDD,AIRPORT,
EKY,ALL/ALL/0800-1800,AIRPORT,Y-L
0A8,UNATNDD,AIRPORT,Y-L
81AL,UNATNDD,HELIPORT,Y-L
5AL5,UNATNDD,AIRPORT,Y
AL93,IREG,AIRPORT,Y
M22,ALL/MON-SAT/0900-1700,AIRPORT,Y-L
AL54,UNATNDD,AIRPORT,
BHM,ALL/ALL/ALL,AIRPORT,Y-L
84AL,UNATNDD,AIRPORT,
AL40,UNATNDD,AIRPORT,
4AL6,ALL/MON-SAT/DAWN-DUSK,AIRPORT,
AL96,UNATNDD,"SEAPLANE BASE",
12J,ALL/SAT/0830-1700,AIRPORT,Y-L
12J,ALL/MON-FRI/0730-1700,AIRPORT,Y-L
0AL8,UNATNDD,HELIPORT,Y
06AL,"ATTENDED DURG SKED TRNG.",HELIPORT,
AL26,IREG,HELIPORT,Y-L
1AL7,UNATNDD,HELIPORT,Y-L
09A,UNATNDD,AIRPORT,Y-L
OZR,ALL/ALL/ALL,AIRPORT,
61A,UNATNDD,AIRPORT,Y-L
AL28,UNATNDD,HELIPORT,Y
14J,UNATNDD,AIRPORT,Y-L
AL49,ALL/ALL/ALL,HELIPORT,Y
PYP,UNATNDD,AIRPORT,Y-L
8AL2,ALL/ALL/DAYLIGHT,AIRPORT,Y
02A,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
42AL,UNATNDD,HELIPORT,Y-L
0AL2,ALL/ALL/ALL,HELIPORT,Y
11A,UNATNDD,AIRPORT,Y-L
AL09,UNATNDD,AIRPORT,Y
2AL1,IREG,AIRPORT,Y
AL83,ALL/ALL/ALL,HELIPORT,Y
9A4,UNATNDD,AIRPORT,Y-L
SEM,ALL/ALL/0800-1800,AIRPORT,Y-L
AL06,UNATNDD,HELIPORT,Y-L
CMD,ALL/ALL/0700-1700,AIRPORT,Y-L
3AL9,ALL/ALL/ALL,HELIPORT,Y
AL87,ALL/ALL/ALL,HELIPORT,Y-L
2AL6,UNATTENDED,AIRPORT,Y
1AL1,UNATNDD,HELIPORT,
0AL4,UNATNDD,HELIPORT,
DYA,ALL/ALL/0800-1700,AIRPORT,Y-L
DHN,ALL/ALL/ALL,AIRPORT,Y-L
AL60,UNATNDD,AIRPORT,Y
0AL6,UNATNDD,HELIPORT,
86AL,UNATNDD,HELIPORT,Y
AL85,UNATNDD,HELIPORT,Y-L
AL07,UNATNDD,HELIPORT,Y
3AL2,ALL/ALL/ALL,HELIPORT,Y-L
11AL,"ATTENDED DURG SKED TRNG.",HELIPORT,
3AL5,UNATNDD,AIRPORT,Y
AL34,ALL/ALL/DAWN-DUSK,AIRPORT,Y
AL99,IREG,AIRPORT,Y
1AL4,UNATNDD,AIRPORT,
2AL3,UNATNDD,AIRPORT,Y-L
EDN,ALL/SUNDAY/UNATNDD,AIRPORT,Y-L
EDN,"ALL/SATURDAY/0800 - 1700",AIRPORT,Y-L
EDN,"ALL/MONDAY - FRIDAY/0700 - 1700",AIRPORT,Y-L
00AL,UNATNDD,AIRPORT,Y
3A7,UNATNDD,AIRPORT,N
AL94,UNATNDD,AIRPORT,Y
GZH,ALL/MON-FRI/0800-1700,AIRPORT,Y
3AL0,UNATNDD,HELIPORT,Y-L
2AL8,UNATNDD,AIRPORT,
43AL,ALL/ALL/ALL,HELIPORT,
3AL8,UNATNDD,AIRPORT,Y
0AL5,UNATNDD,AIRPORT,
7AL8,UNATTENDED,HELIPORT,Y
0J4,ALL/ALL/0800-2400,AIRPORT,Y-L
AL59,ALL/ALL/ALL,HELIPORT,Y-L
AL32,UNATNDD,AIRPORT,Y
AL51,UNATNDD,AIRPORT,Y
3AL1,UNATNDD,AIRPORT,
2AL5,UNATNDD,AIRPORT,Y
5AL3,UNATNDD,AIRPORT,N
3AL4,ALL/ALL/ALL,HELIPORT,Y-L
5R4,ALL/ALL/0800-1700,AIRPORT,Y-L
67A,UNATNDD,AIRPORT,N
28AL,UNATNDD,AIRPORT,
07A,UNATNDD,AIRPORT,Y-L
04A,UNATTENDED,AIRPORT,Y
AL41,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
AL41,ALL/SUN/1200-1700,AIRPORT,Y-L
AL10,IRREG,AIRPORT,Y
8AL3,UNATNDD,AIRPORT,
4AL4,"ON CALL",HELIPORT,
0AL7,UNATNDD,HELIPORT,
34AL,"ATTENDANCE ON REQUEST",HELIPORT,
33J,UNATNDD,AIRPORT,Y-L
AIV,UNATNDD,AIRPORT,Y-L
12AL,"ATTENDED DURG SKED TRNG",HELIPORT,
AL45,ALL/ALL/ALL,HELIPORT,Y-L
09AL,UNATNDD,HELIPORT,Y-L
7A0,UNATTND,AIRPORT,Y-L
AL74,UNATNDD,AIRPORT,Y
JKA,ALL/ALL/0600-2200,AIRPORT,Y-L
AL75,UNATNDD,"SEAPLANE BASE",
8A1,"ALL/MON - SAT/0800-1700",AIRPORT,Y
HEY,"EXCP HOL",HELIPORT,
HEY,ALL/MON-FRI/0600-0030,HELIPORT,
5M0,ALL/ALL/0800-1700,AIRPORT,Y-L
