airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway
MLS,"46-25-36.7910N 105-53-17.6110W
46-25.613183N 105-53.293517W
46.4268864,-105.8882253
(estimated)",2634.2 ft. / 802.9 m (surveyed),09E (2020),"2 miles NW of MILES CITY, MT",UTC -7 (UTC -6 during Daylight Saving Time),59301,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,DAYLIGHT HOURS,5764 x 75 ft. / 1757 x 23 m,hangars and tiedowns,5624 x 100 ft. / 1714 x 30 m,Publicly-owned,Runway 4/22
MLU,"32-30-37.9989N 092-02-10.0814W
32-30.633315N 092-02.168023W
32.5105553,-92.0361337
(estimated)",79.2 ft. / 24.1 m (surveyed),03E (1995),"3 miles E of MONROE, LA",UTC -6 (UTC -5 during Daylight Saving Time),71203,Open to the public,04/1940,yes,FORT WORTH CENTER,DE RIDDER FLIGHT SERVICE STATION,CONTINUOUS,100LL JET-A,,7504 x 150 ft. / 2287 x 46 m,6301 x 150 ft. / 1921 x 46 m,Runway 4/22
MLY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMCL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMHO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMLP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMPR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMSD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMTM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMTP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMU,"40-47-57.6180N 074-24-53.5990W
40-47.960300N 074-24.893317W
40.7993383,-74.4148886
(estimated)",186.6 ft. / 56.9 m (surveyed),13W (2005),"3 miles E of MORRISTOWN, NJ",UTC -5 (UTC -4 during Daylight Saving Time),07960,Open to the public,05/1943,yes,NEW YORK CENTER,MILLVILLE FLIGHT SERVICE STATION,0645-2230,"100LL JET-A JET-A+
A:O-128 AVOIL AVBL.",,5998 x 150 ft. / 1828 x 46 m,3997 x 150 ft. / 1218 x 46 m,Runway 5/23
MMV,"45-11-40.4000N 123-08-09.8000W
45-11.673333N 123-08.163333W
45.1945556,-123.1360556
(estimated)",162.6 ft. / 49.6 m (surveyed),19E (1990),"3 miles SE of MC MINNVILLE, OR",UTC -8 (UTC -7 during Daylight Saving Time),97128,Open to the public,12/1943,no,SEATTLE CENTER,"MC MINNVILLE FLIGHT SERVICE STATION
ADDNL PHONE NR. TO FSS LC434-5508.",1600-0100Z,"100LL JET-A
100LL:100LL FUEL 24 HR CREDIT CARD SVC AVBL.",,5420 x 100 ft. / 1652 x 30 m,4340 x 75 ft. / 1323 x 23 m,Runway 4/22
MMVR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MMZH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MNV,"35-32-42.8350N 084-22-49.4410W
35-32.713917N 084-22.824017W
35.5452319,-84.3804003
(estimated)",1031 ft. / 314.2 m (surveyed),04W (2005),"2 miles NW of MADISONVILLE, TN",UTC -5 (UTC -4 during Daylight Saving Time),37874,Open to the public,no,ATLANTA CENTER,NASHVILLE FLIGHT SERVICE STATION,BNA (NOTAM-D service available),lighted,100LL JET-A1+,,3643 x 75 ft. / 1110 x 23 m,Publicly-owned,Runway 5/23
MOD,"37-37-32.9690N 120-57-15.9480W
37-37.549483N 120-57.265800W
37.6258247,-120.9544300
(estimated)",99.2 ft. / 30.2 m (surveyed),16E (1985),"2 miles SE of MODESTO, CA",UTC -8 (UTC -7 during Daylight Saving Time),95354,Open to the public,04/1940,yes,OAKLAND CENTER,RANCHO MURIETA FLIGHT SERVICE STATION,MON-FRI 0800 -1630,5904 x 150 ft. / 1800 x 46 m,hangars and tiedowns,3464 x 100 ft. / 1056 x 30 m,Publicly-owned,Runway 10L/28R
MPTO,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
