airport_numbers,location,elevation,variation,from_city,time_zone,zipcode,airport_use,activation_date,control_tower,artcc,fss,attendance,fueltype,parking,ownership1,ownership2,runway,airport_operations,airport_operations1
09J,"31-04-28.1000N 081-25-40.0000W
31-04.468333N 081-25.666667W
31.0744722,-81.4277778
(estimated)",11.3 ft. / 3.4 m (surveyed),05W (1995),"6 miles SE of JEKYLL ISLAND, GA",UTC -5 (UTC -4 during Daylight Saving Time),31527,Open to the public,no,JACKSONVILLE CENTER,MACON FLIGHT SERVICE STATION,MCN (NOTAM-D service available),lighted,3715 x 75 ft. / 1132 x 23 m,tiedowns,Publicly-owned,  ,Runway 18/36,"['- ', 'TRANSITION VIOLATIONS - 55 FT TREES E OF RY & 40 FT TREES W OF RY.']","['Aircraft based on the field:', ' ', '7', 'Single engine airplanes:', ' ', '5', 'Ultralights:', ' ', '2']"
14A,"35-36-49.9300N 080-53-57.9500W
35-36.832167N 080-53.965833W
35.6138694,-80.8994306
(estimated)",839.4 ft. / 255.8 m (surveyed),07W (2005),"5 miles NW of MOORESVILLE, NC",UTC -5 (UTC -4 during Daylight Saving Time),28117,Open to the public,06/1967,no,ATLANTA CENTER,RALEIGH FLIGHT SERVICE STATION,"MON - FRI 0800-1700, ALL SAT - SUN 1000-1600
ARPT UNATNDD ALL MAJ HOLS.",100LL,,3147 x 40 ft. / 959 x 12 m,Privately-owned,Runway 14/32,"['- ', 'ROTG BCN IS LCTD ON TOP OF A WATER TANK 1/2 - 1 MILE NE OF RY 18 IN A SWAMPY AREA.']","['Aircraft operations: avg 33/month *', '75% ', 'transient general aviation', '25% ', 'air taxi', '* for 12-month period ending 15 June 2020']"
18A,"34-20-25.3000N 083-07-50.9000W
34-20.421667N 083-07.848333W
34.3403611,-83.1308056
(estimated)",889.9 ft. / 271 m (estimated),05W (2005),"1 mile SW of CANON, GA",UTC -5 (UTC -4 during Daylight Saving Time),30520,Open to the public,11/1970,no,ATLANTA CENTER,MACON FLIGHT SERVICE STATION,UNATNDD,"100LL JET-A
100LL:SELF SVC 100LL AND A FUEL AVBL 24 HRS WITH CREDIT CARD.",,5000 x 75 ft. / 1524 x 23 m,Publicly-owned,Runway 8/26,"['- ', 'DEER ON & INVOF OF ARPT.']","['Aircraft based on the field:', ' ', '26', 'Single engine airplanes:', ' ', '23', 'Jet airplanes:', ' ', '1', 'Helicopters:', ' ', '2']"
1V6,"38-25-42.8168N 105-06-24.6759W
38-25.713613N 105-06.411265W
38.4285602,-105.1068544
(estimated)",5442.4 ft. / 1658.8 m (surveyed),08E (2020),"6 miles E of CANON CITY, CO",UTC -7 (UTC -6 during Daylight Saving Time),81240,Open to the public,03/1941,no,DENVER CENTER,DENVER FLIGHT SERVICE STATION,0800-1700,100LL JET-A,,5399 x 75 ft. / 1646 x 23 m,"1800 x 35 ft. / 549 x 11 m
VRBL 35 - 45 FT.",Runway 11/29,"['- ', 'FOR CD CTC JACKSONVILLE ARTCC AT 904-845-1592.']","['Aircraft based on the field:', ' ', '137', 'Single engine airplanes:', ' ', '115', 'Multi engine airplanes:', ' ', '17', 'Helicopters:', ' ', '1', 'Ultralights:', ' ', '4']"
22S,"42-43-04.7000N 120-33-46.0000W
42-43.078333N 120-33.766667W
42.7179722,-120.5627778
(estimated)",4395 ft. / 1340 m (estimated),18E (1985),"3 miles NW of PAISLEY, OR",UTC -8 (UTC -7 during Daylight Saving Time),97636,Open to the public,07/1961,no,SEATTLE CENTER,MC MINNVILLE FLIGHT SERVICE STATION,UNATNDD,4300 x 60 ft. / 1311 x 18 m,NONE,Publicly-owned,nan,Runway 13/31,"['Aircraft based on the field:   92\nSingle engine airplanes:   86\nMulti engine airplanes:   3\nHelicopters:   2\nUltralights:   1', 'Aircraft based on the field:', ' ', '92', 'Single engine airplanes:', ' ', '86', 'Multi engine airplanes:', ' ', '3', 'Helicopters:', ' ', '2', 'Ultralights:', ' ', '1', '  ', '', '  ', 'Aircraft operations: avg 49/day *\n83%  local general aviation\n17%  transient general aviation\n* for 12-month period ending 19 August 2022', 'Aircraft operations: avg 49/day *', '83% ', 'local general aviation', '17% ', 'transient general aviation', '* for 12-month period ending 19 August 2022']","['Aircraft based on the field:', ' ', '44', 'Single engine airplanes:', ' ', '42', 'Multi engine airplanes:', ' ', '2']"
2I0,"37-21-21.3390N 087-23-53.5910W
37-21.355650N 087-23.893183W
37.3559275,-87.3982197
(estimated)",439.1 ft. / 133.8 m (surveyed),03W (2010),"5 miles NE of MADISONVILLE, KY",UTC -6 (UTC -5 during Daylight Saving Time),42431,Open to the public,04/1944,no,INDIANAPOLIS CENTER,LOUISVILLE FLIGHT SERVICE STATION,"MON-FRI 0700-1700, ALL SAT-SUN 0800-1700, ALL HOLIDAY 0800-1700",6051 x 100 ft. / 1844 x 30 m,hangars and tiedowns,Publicly-owned,  ,Runway 5/23,"['Aircraft based on the field:   25\nSingle engine airplanes:   22\nMulti engine airplanes:   3', 'Aircraft based on the field:', ' ', '25', 'Single engine airplanes:', ' ', '22', 'Multi engine airplanes:', ' ', '3', '  ', '', '  ', 'Aircraft operations: avg 22/day *\n50%  transient general aviation\n50%  local general aviation\n* for 12-month period ending 31 December 2021', 'Aircraft operations: avg 22/day *', '50% ', 'transient general aviation', '50% ', 'local general aviation', '* for 12-month period ending 31 December 2021']","['Aircraft based on the field:', ' ', '18', 'Single engine airplanes:', ' ', '10', 'Multi engine airplanes:', ' ', '1', 'Jet airplanes:', ' ', '1', 'Helicopters:', ' ', '6']"
2R4,"30-38-15.4350N 086-59-37.1500W
30-38.257250N 086-59.619167W
30.6376208,-86.9936528
(estimated)",81.6 ft. / 24.9 m (surveyed),01W (2000),"3 miles E of MILTON, FL",UTC -6 (UTC -5 during Daylight Saving Time),32583,Open to the public,04/1940,no,JACKSONVILLE CENTER,GAINESVILLE FLIGHT SERVICE STATION,0700-DUSK,3701 x 75 ft. / 1128 x 23 m,tiedowns,Publicly-owned,  ,Runway 18/36,"['Ownership: ', 'Publicly-owned']","['Aircraft based on the field:', ' ', '109', 'Single engine airplanes:', ' ', '67', 'Multi engine airplanes:', ' ', '6', 'Jet airplanes:', ' ', '24', 'Helicopters:', ' ', '12']"
32S,"46-31-30.4000N 114-03-10.1000W
46-31.506667N 114-03.168333W
46.5251111,-114.0528056
(estimated)",3613.5 ft. / 1101.4 m (surveyed),16E (2000),"2 miles NE of STEVENSVILLE, MT",UTC -7 (UTC -6 during Daylight Saving Time),59870,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,UNATNDD,3809 x 75 ft. / 1161 x 23 m,tiedowns,Publicly-owned,  ,Runway 12/30,"['Owner: ', 'FREMONT COUNTY\n615 MACON\nCANON CITY, CO 81212\nPhone 719-276-7300']","['Aircraft based on the field:', ' ', '144', 'Single engine airplanes:', ' ', '125', 'Multi engine airplanes:', ' ', '1', 'Helicopters:', ' ', '2', 'Gliders airplanes:', ' ', '16']"
38S,"46-23-16.2000N 112-45-53.8000W
46-23.270000N 112-45.896667W
46.3878333,-112.7649444
(estimated)",4692.7 ft. / 1430.3 m (surveyed),13E (2015),"2 miles W of DEER LODGE, MT",UTC -7 (UTC -6 during Daylight Saving Time),59722,Open to the public,04/1940,no,SALT LAKE CITY CENTER,GREAT FALLS FLIGHT SERVICE STATION,UNATNDD,"5800 x 75 ft. / 1768 x 23 m
RY 13/31 EXTDD SE END.",tiedowns,Publicly-owned,  ,Runway 13/31,"['Manager: ', 'WESLEY BRANDT\n60298 HIGHWAY 50\nPENROSE, CO 81240\nPhone 719-784-3816\nAFT HR - 719-429-3816.']","['Aircraft based on the field:', ' ', '66', 'Single engine airplanes:', ' ', '59', 'Multi engine airplanes:', ' ', '3', 'Helicopters:', ' ', '2', 'Gliders airplanes:', ' ', '2']"
46U,"43-10-54.5000N 111-02-18.6000W
43-10.908333N 111-02.310000W
43.1818056,-111.0385000
(estimated)",5637 ft. / 1718.2 m (surveyed),11E (2020),"1 mile NW of ALPINE, WY",UTC -7 (UTC -6 during Daylight Saving Time),83128,Open to the public,12/1971,no,SALT LAKE CITY CENTER,CASPER FLIGHT SERVICE STATION,UNATNDD,5827 x 70 ft. / 1776 x 21 m,tiedowns,Privately-owned,  ,Runway 13/31,"['- ', ""TRAFFIC PATTERN ALTITUDE 1000' AGL.""]","['Aircraft based on the field:', ' ', '15', 'Single engine airplanes:', ' ', '14', 'Multi engine airplanes:', ' ', '1']"
