Loc Id,Facility Type,Runway Id,Length,Width,Surface Type Condition,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Schedule
ADK,AIRPORT,07/25,1104,60,TURF-G,0.0,0.0,0.0,0.0,ALL/ALL/ALL
7AK,AIRPORT,H1,50,50,CONC,0.0,0.0,0.0,0.0,ALL/MON - FRI/0630-0000
6A8,AIRPORT,18/36,5264,100,ASPH-E,45.0,75.0,0.0,0.0,ALL/MON-FRI/0700-1700
BIG,AIRPORT,H1,30,30,ASPH,0.0,0.0,0.0,0.0,ALL/SAT-SUN/0800-1700
AK15,AIRPORT,H1,90,50,CONC,0.0,0.0,0.0,0.0,UNATNDD
BET,AIRPORT,H1,40,40,CONC-G,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
BGQ,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,UNATNDD
9A3,AIRPORT,H2,50,50,ASPH,0.0,0.0,0.0,0.0,ATTENDED DURG SKED TRNG
CDB,AIRPORT,H5,1000,60,ASPH,0.0,0.0,0.0,0.0,UNATTND
DLG,AIRPORT,H3,1600,75,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
GAL,AIRPORT,H1,500,100,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
EDF,AIRPORT,H3,1600,50,ASPH,0.0,0.0,0.0,0.0,UNATNDD
FAI,AIRPORT,H3,2000,50,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
FYU,AIRPORT,H5,50,50,ASPH,0.0,0.0,0.0,0.0,UNATNDD
GKN,AIRPORT,H1,20,20,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
GST,AIRPORT,18/36,5495,100,ASPH-G,15.0,0.0,0.0,0.0,ALL/ALL/0800-1700
HNS,AIRPORT,11/29,3400,75,TURF,0.0,0.0,0.0,0.0,ALL/ALL/ALL
HOM,AIRPORT,18L/36R,10001,150,ASPH-F,120.0,250.0,550.0,0.0,UNATNDD
HPB,AIRPORT,18/36,6500,100,ASPH-F,60.0,75.0,140.0,0.0,ALL/ALL/ALL
HLA,AIRPORT,18/36,1800,60,TURF,0.0,0.0,0.0,0.0,ALL/ALL/0700-1700
JNU,AIRPORT,14/32,9618,150,ASPH-CONC-G,75.0,185.0,325.0,0.0,ALL/ALL/0800-1700
ENA,AIRPORT,09/27,3500,50,TURF,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-1800
KTN,AIRPORT,H1,40,40,PFC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
KVC,AIRPORT,12/30,6694,150,ASPH-E,59.0,98.0,160.0,0.0,ALL/ALL/0800-1700
ADQ,AIRPORT,07/25,2250,100,TURF,0.0,0.0,0.0,0.0,ALL/ALL/ALL
FBK,AIRPORT,09/27,5400,100,ASPH-E,30.0,0.0,0.0,0.0,UNATNDD
MLY,AIRPORT,05/23,3998,150,ASPH,0.0,0.0,0.0,0.0,UNATNDD
MCG,AIRPORT,H1,60,60,CONC,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1600
CDV,AIRPORT,04/22,6498,150,ASPH-E,120.0,250.0,450.0,972.0,UNATNDD
MRI,AIRPORT,12/30,4000,100,ASPH-F,15.0,0.0,0.0,0.0,ALL/ALL/ALL
ENN,AIRPORT,17/35,1950,35,DIRT,0.0,0.0,0.0,0.0,ALL/MON-FRI/0730-1600
OME,AIRPORT,H1,30,30,GRAVEL,0.0,0.0,0.0,0.0,ALL/ALL/ALL
NUL,AIRPORT,H1,100,100,CONC-E,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
PSG,AIRPORT,17/35,2500,75,DIRT,0.0,0.0,0.0,0.0,ALL/SUN/ON CALL
TAL,AIRPORT,E/W,3600,60,DIRT,0.0,0.0,0.0,0.0,ALL/MON-FRI/0730-1700
SDP,AIRPORT,08/26,2436,24,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
SIT,AIRPORT,H2,40,50,ASPH-CONC,0.0,0.0,0.0,0.0,ALL/MON-FRI/0700-1800
