,Loc Id,ARP Latitude,ARP Longitude,Facility Type,Runway Id,Length,Width,Surface Type Condition,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Schedule
0,ADK,051-53-00.9000N,176-38-32.9400W,AIRPORT,07/25,1104,60,TURF-G,0.0,0.0,0.0,0.0,ALL/ALL/ALL
1,7AK,054-08-40.6000N,165-36-14.7900W,AIRPORT,H1,50,50,CONC,0.0,0.0,0.0,0.0,ALL/MON - FRI/0630-0000
2,6A8,066-33-06.6000N,152-37-19.8000W,AIRPORT,18/36,5264,100,ASPH-E,45.0,75.0,0.0,0.0,ALL/MON-FRI/0700-1700
3,BIG,063-59-42.6000N,145-43-12.2000W,AIRPORT,H1,30,30,ASPH,0.0,0.0,0.0,0.0,ALL/SAT-SUN/0800-1700
4,AK15,070-20-39.4000N,150-56-41.1000W,AIRPORT,H1,90,50,CONC,0.0,0.0,0.0,0.0,UNATNDD
5,BET,060-46-42.8000N,161-50-13.8000W,AIRPORT,H1,40,40,CONC-G,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
6,BGQ,061-32-04.8600N,149-48-45.1700W,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,UNATNDD
7,9A3,061-34-44.6000N,159-12-56.3000W,AIRPORT,H2,50,50,ASPH,0.0,0.0,0.0,0.0,ATTENDED DURG SKED TRNG
8,CDB,055-12-21.3000N,162-43-34.5000W,AIRPORT,H5,1000,60,ASPH,0.0,0.0,0.0,0.0,UNATTND
9,DLG,059-02-40.8000N,158-30-19.8000W,AIRPORT,H3,1600,75,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
10,GAL,064-44-10.2800N,156-56-04.4000W,AIRPORT,H1,500,100,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
11,EDF,061-15-04.8700N,149-48-23.4900W,AIRPORT,H3,1600,50,ASPH,0.0,0.0,0.0,0.0,UNATNDD
12,FAI,064-48-55.2800N,147-51-24.0000W,AIRPORT,H3,2000,50,ASPH,0.0,0.0,0.0,0.0,ALL/ALL/ALL
13,FYU,066-34-20.7000N,145-14-46.8000W,AIRPORT,H5,50,50,ASPH,0.0,0.0,0.0,0.0,UNATNDD
14,GKN,062-09-15.6000N,145-27-19.0500W,AIRPORT,H1,20,20,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
15,GST,058-25-31.0000N,135-42-26.7000W,AIRPORT,18/36,5495,100,ASPH-G,15.0,0.0,0.0,0.0,ALL/ALL/0800-1700
16,HNS,059-14-37.7900N,135-31-24.7400W,AIRPORT,11/29,3400,75,TURF,0.0,0.0,0.0,0.0,ALL/ALL/ALL
17,HOM,059-38-41.9800N,151-29-08.9100W,AIRPORT,18L/36R,10001,150,ASPH-F,120.0,250.0,550.0,0.0,UNATNDD
18,HPB,061-31-25.9300N,166-08-47.8400W,AIRPORT,18/36,6500,100,ASPH-F,60.0,75.0,140.0,0.0,ALL/ALL/ALL
19,HLA,065-41-52.3000N,156-21-05.0000W,AIRPORT,18/36,1800,60,TURF,0.0,0.0,0.0,0.0,ALL/ALL/0700-1700
20,JNU,058-21-16.9600N,134-34-42.4900W,AIRPORT,14/32,9618,150,ASPH-CONC-G,75.0,185.0,325.0,0.0,ALL/ALL/0800-1700
21,ENA,060-34-23.8000N,151-14-41.4000W,AIRPORT,09/27,3500,50,TURF,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-1800
22,KTN,055-21-14.7000N,131-42-40.4000W,AIRPORT,H1,40,40,PFC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
23,KVC,055-06-58.9800N,162-15-59.5300W,AIRPORT,12/30,6694,150,ASPH-E,59.0,98.0,160.0,0.0,ALL/ALL/0800-1700
24,ADQ,057-44-59.2600N,152-29-38.2000W,AIRPORT,07/25,2250,100,TURF,0.0,0.0,0.0,0.0,ALL/ALL/ALL
25,FBK,064-50-15.4000N,147-36-52.1700W,AIRPORT,09/27,5400,100,ASPH-E,30.0,0.0,0.0,0.0,UNATNDD
26,MLY,064-59-16.6000N,150-38-51.3000W,AIRPORT,05/23,3998,150,ASPH,0.0,0.0,0.0,0.0,UNATNDD
27,MCG,062-57-10.0200N,155-36-25.3700W,AIRPORT,H1,60,60,CONC,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1600
28,CDV,060-29-29.9000N,145-28-39.2100W,AIRPORT,04/22,6498,150,ASPH-E,120.0,250.0,450.0,972.0,UNATNDD
29,MRI,061-12-48.7700N,149-50-40.9500W,AIRPORT,12/30,4000,100,ASPH-F,15.0,0.0,0.0,0.0,ALL/ALL/ALL
30,ENN,064-32-50.2800N,149-04-26.1300W,AIRPORT,17/35,1950,35,DIRT,0.0,0.0,0.0,0.0,ALL/MON-FRI/0730-1600
31,OME,064-30-45.2000N,165-26-39.8000W,AIRPORT,H1,30,30,GRAVEL,0.0,0.0,0.0,0.0,ALL/ALL/ALL
32,NUL,064-43-45.6000N,158-04-27.2000W,AIRPORT,H1,100,100,CONC-E,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
33,PSG,056-48-05.3000N,132-56-46.4000W,AIRPORT,17/35,2500,75,DIRT,0.0,0.0,0.0,0.0,ALL/SUN/ON CALL
34,TAL,065-10-27.8000N,152-06-29.2000W,AIRPORT,E/W,3600,60,DIRT,0.0,0.0,0.0,0.0,ALL/MON-FRI/0730-1700
35,SDP,055-18-49.3000N,160-31-17.1300W,AIRPORT,08/26,2436,24,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
36,SIT,057-02-48.6000N,135-21-39.8500W,AIRPORT,H2,40,50,ASPH-CONC,0.0,0.0,0.0,0.0,ALL/MON-FRI/0700-1800
37,SXQ,060-28-30.5000N,151-02-22.7000W,AIRPORT,06/24,2700,65,DIRT,0.0,0.0,0.0,0.0,UNATNDD
38,PBV,056-34-38.5000N,169-39-49.4000W,AIRPORT,01/19,6250,100,ASPH-G,30.0,50.0,0.0,0.0,ALL/ALL/ALL
39,SNP,057-09-58.7000N,170-13-21.2000W,AIRPORT,H1,50,50,CONC-G,0.0,0.0,0.0,0.0,UNATTND
40,ANC,061-10-26.7000N,149-59-53.3000W,AIRPORT,H3,60,60,CONC,0.0,0.0,0.0,0.0,UNATNDD
41,6K8,063-19-46.2500N,142-57-13.2600W,AIRPORT,12L/30R,9300,150,CONC-G,75.0,210.0,590.0,850.0,ALL/MON-SAT/0800-1700
42,UBW,070-19-50.4000N,149-35-53.0000W,AIRPORT,03/21,2500,45,DIRT,0.0,0.0,0.0,0.0,UNATNDD
43,DUT,053-53-56.2000N,166-32-42.1000W,AIRPORT,H1,120,120,ASPH,0.0,0.0,0.0,0.0,UNATNDD
44,VDZ,061-08-03.2000N,146-14-41.1700W,AIRPORT,12/30,6007,100,ASPH-G,33.0,0.0,0.0,0.0,UNATNDD
45,PAQ,061-35-41.7000N,149-05-19.4000W,AIRPORT,H1,40,40,CONC,0.0,0.0,0.0,0.0,UNATNDD
46,BRW,071-17-05.5000N,156-46-06.9000W,AIRPORT,H1,50,50,CONC-G,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
47,WRG,056-29-03.6000N,132-22-11.4000W,AIRPORT,H1,60,60,CONC,0.0,0.0,0.0,0.0,ALL/MON-SAT/0800-1700
