Site Id,Loc Id,ICAO Id,State Id,Sequence,Schedule
00103.*A,0J0,,AL,1,UNATNDD
00106.*A,2A8,,AL,1,UNATNDD
00108.*A,AL03,,AL,1,UNATNDD
00110.01*H,AL39,,AL,1,ALL/ALL/ALL
00110.*A,EET,KEET,AL,1,ALL/ALL/0700-1900
00112.1*A,8A0,,AL,2,ALL/SUN/1230-DUSK
00112.1*A,8A0,,AL,1,ALL/MON-SAT/0700-DUSK
00116.01*H,33AL,,AL,1,UNATNDD
00116.*A,ALX,KALX,AL,1,ALL/MON-FRI/0800-1700
00119.*A,AIV,KAIV,AL,1,UNATNDD
00124.*A,79J,,AL,4,ALL/SAT-SUN/0730-1630
00124.*A,79J,,AL,5,ALL/MON - FRI/0630-0000
00128.01*H,AL42,,AL,1,UNATNDD
00128.02*H,04AL,,AL,1,ALL/MON-FRI/0800-1630
00128.*A,ANB,KANB,AL,2,ALL/MON-FRI/0700-1800
00128.*A,ANB,KANB,AL,3,ALL/SAT-SUN/0800-1700
00133.5*A,1M3,,AL,1,ALL/MON-FRI/DALGT
00134.*H,90KY,,KY,1,UNATNDD
00135.01*H,0AL2,,AL,1,ALL/ALL/ALL
00135.*A,26A,,AL,2,UNATNDD
00137.*A,AL60,,AL,1,UNATNDD
00139.*H,5AL9,,AL,1,UNATNDD
00140.1*A,0R1,,AL,1,ALL/MON-FRI/0700-1700
00146.*A,AUO,KAUO,AL,3,ALL/SAT-SUN/0800-1700
00146.*A,AUO,KAUO,AL,2,ALL/MON-FRI/0700-1900
00155.03*H,6AL9,,AL,1,UNATNDD
00155.31*A,5R7,,AL,1,ON CALL
00155.32*H,AL67,,AL,1,ALL/ALL/DAWN-DUSK
00155.*A,1R8,,AL,3,ALL/ALL/0800-1700
00157.11*H,AL19,,AL,1,ALL/ALL/ALL
00157.1*A,EKY,KEKY,AL,1,ALL/ALL/0800-1800
00164.05*H,AL50,,AL,1,ALL/ALL/ALL
00164.06*H,AL49,,AL,1,ALL/ALL/ALL
00164.07*H,AL91,,AL,1,UNATNDD
00164.08*H,AL21,,AL,1,IREG
00164.11*H,AL38,,AL,1,UNATNDD
00164.12*H,0AL8,,AL,1,UNATNDD
00164.16*H,AL45,,AL,1,ALL/ALL/ALL
00164.18*H,AL66,,AL,1,UNATNDD
00164.19*H,AL65,,AL,1,UNATNDD
00164.9*A,AL40,,AL,1,UNATNDD
00164.*A,BHM,KBHM,AL,1,ALL/ALL/ALL
00170.*A,AL29,,AL,1,UNATNDD
00174.02*A,8AL3,,AL,1,UNATNDD
00174.*H,1AL0,,AL,1,UNATNDD
00180.*A,3AL6,,AL,1,UNATNDD
00183.0*A,AL30,,AL,1,UNATTND
00186.01*H,0AL6,,AL,1,UNATNDD
00186.*A,12J,,AL,1,ALL/MON-FRI/0730-1700
00186.*A,12J,,AL,2,ALL/SAT/0830-1700
00189.*H,10AL,,AL,1,UNATNDD
00199.003*H,42AL,,AL,1,UNATNDD
00199.1*A,09A,,AL,1,UNATNDD
00207.1*A,61A,,AL,1,UNATNDD
