flight_numbers,reg_owner_name,model,type_aircraft,manufacturing_name,exp_date,eng_type,date_change_authorized,type_registration,dealer,mode_S_code_16,fractional_owner,street,city,county,country,state,zip_code,type_certificate_data_sheet,engine_manufacturer,engine_model,awdate,type_certificate_holder,classification,category,exception_code,status,serial_number,pending_number_change,certificate_issue_date,mfr_year,mode_S_code_8
N32AL,AERO AIR LLC,690A,Fixed Wing Multi-Engine,ROCKWELL INTERNATIONAL,10/31/2027,Turbo-prop,None,LLC,No,A36C02,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,AIRESEARCH,TPE331-5&6SER,07/14/1976,None,Standard,Normal,No,Valid,11336,None,07/03/2000,1976,50666002
N542LM,AERO AIR LLC,35A,Fixed Wing Multi-Engine,LEARJET INC,11/30/2028,Turbo-fan,None,LLC,No,A6E060,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,GARRETT,TFE731 SERIES,12/08/1999,None,Standard,Transport,No,Valid,35A-280,None,11/14/2008,1980,51560140
N543LM,MARKLYN JET PARTS LLC,35A,Fixed Wing Multi-Engine,GATES LEARJET CORP.,01/31/2030,Turbo-fan,None,LLC,No,A6E417,NO,7515 LEMMON AVE BLDG J,DALLAS,DALLAS,UNITED STATES,TEXAS,75209-3017,None,HONEYWELL,TFE731-2C,11/17/2006,None,Standard,Transport,No,Valid,426,None,01/16/2023,1981,51562027
N545LM,AERO AIR LLC,B200,Fixed Wing Multi-Engine,BEECH,09/30/2028,Turbo-prop,None,LLC,No,A6EB85,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,P&W CANADA,PT6A-42,11/11/2004,None,Standard,Normal,No,Valid,BB-1069,None,10/23/2006,1982,51565605
N546LM,AERO AIR LLC,B200,Fixed Wing Multi-Engine,BEECH,01/31/2028,Turbo-prop,None,LLC,No,A6EF3C,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,P&W,PT6A SER,02/25/1986,None,Standard,Normal,No,Valid,BB1235,None,01/23/2012,1985,51567474
N548LM,AERO AIR LLC,31A,Fixed Wing Multi-Engine,LEARJET INC,09/30/2027,Turbo-fan,None,LLC,No,A6F6AA,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,AIRESEARCH,TFE731 SER,01/29/1991,None,Standard,Transport,No,Valid,050,None,09/16/2011,1992,51573252
N724DE,AERO AIR LLC,SR22,Fixed Wing Single-Engine,CIRRUS DESIGN CORP,01/31/2029,Reciprocating,None,LLC,No,A9B2B8,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,CONT MOTOR,IO-550 SERIES,10/25/2004,None,Standard,Normal,No,Valid,1140,None,12/02/2009,2004,52331270
N406AS,AERO LEASING INC,407,Rotorcraft,BELL,04/30/2027,Turbo-shaft,None,Corporation,No,A4C2FC,NO,2040 MILLIGAN WAY,MEDFORD,JACKSON,UNITED STATES,OREGON,97504-6015,H2SW,ROLLS-ROYC,250-C47 SER,04/19/2017,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,53520,None,04/11/2017,2002,51141374
N1546H,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,05/31/2028,Turbo-prop,None,Corporation,No,A0DC3D,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67AG,08/01/2008,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0003,None,05/01/2012,1992,50156075
N717DA,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,01/31/2028,Turbo-prop,None,Corporation,No,A9965A,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67F,02/07/2018,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0303,None,01/19/2018,2008,52313132
