flight_numbers,reg_owner_name,model,type_aircraft,manufacturing_name,exp_date,eng_type,date_change_authorized,type_registration,dealer,mode_S_code_16,fractional_owner,street,city,county,country,state,zip_code,type_certificate_data_sheet,engine_manufacturer,engine_model,awdate,type_certificate_holder,classification,category,exception_code,status,serial_number,pending_number_change,certificate_issue_date,mfr_year,mode_S_code_8,Main Gear Config
N32AL,AERO AIR LLC,690A,Fixed Wing Multi-Engine,ROCKWELL INTERNATIONAL,10/31/27,Turbo-prop,None,LLC,No,A36C02,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,AIRESEARCH,TPE331-5&6SER,7/14/76,None,Standard,Normal,No,Valid,11336,None,7/3/00,1976,50666002,S
N542LM,AERO AIR LLC,35A,Fixed Wing Multi-Engine,LEARJET INC,11/30/28,Turbo-fan,None,LLC,No,A6E060,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,GARRETT,TFE731 SERIES,12/8/99,None,Standard,Transport,No,Valid,35A-280,None,11/14/08,1980,51560140,D
N543LM,MARKLYN JET PARTS LLC,35A,Fixed Wing Multi-Engine,GATES LEARJET CORP.,1/31/30,Turbo-fan,None,LLC,No,A6E417,NO,7515 LEMMON AVE BLDG J,DALLAS,DALLAS,UNITED STATES,TEXAS,75209-3017,None,HONEYWELL,TFE731-2C,11/17/06,None,Standard,Transport,No,Valid,426,None,1/16/23,1981,51562027,D
N545LM,AERO AIR LLC,B200,Fixed Wing Multi-Engine,BEECH,9/30/28,Turbo-prop,None,LLC,No,A6EB85,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,P&W CANADA,PT6A-42,11/11/04,None,Standard,Normal,No,Valid,BB-1069,None,10/23/06,1982,51565605,D
N546LM,AERO AIR LLC,B200,Fixed Wing Multi-Engine,BEECH,1/31/28,Turbo-prop,None,LLC,No,A6EF3C,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,P&W,PT6A SER,2/25/86,None,Standard,Normal,No,Valid,BB1235,None,1/23/12,1985,51567474,D
N548LM,AERO AIR LLC,31A,Fixed Wing Multi-Engine,LEARJET INC,9/30/27,Turbo-fan,None,LLC,No,A6F6AA,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,AIRESEARCH,TFE731 SER,1/29/91,None,Standard,Transport,No,Valid,50,None,9/16/11,1992,51573252,D
N724DE,AERO AIR LLC,SR22,Fixed Wing Single-Engine,CIRRUS DESIGN CORP,1/31/29,Reciprocating,None,LLC,No,A9B2B8,NO,2050 NE 25TH AVE,HILLSBORO,WASHINGTON,UNITED STATES,OREGON,97124-5964,None,CONT MOTOR,IO-550 SERIES,10/25/04,None,Standard,Normal,No,Valid,1140,None,12/2/09,2004,52331270,S
N406AS,AERO LEASING INC,407,Rotorcraft,BELL,4/30/27,Turbo-shaft,None,Corporation,No,A4C2FC,NO,2040 MILLIGAN WAY,MEDFORD,JACKSON,UNITED STATES,OREGON,97504-6015,H2SW,ROLLS-ROYC,250-C47 SER,4/19/17,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,53520,None,4/11/17,2002,51141374,
N1546H,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,5/31/28,Turbo-prop,None,Corporation,No,A0DC3D,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67AG,8/1/08,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0003,None,5/1/12,1992,50156075,S
N717DA,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,1/31/28,Turbo-prop,None,Corporation,No,A9965A,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67F,2/7/18,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0303,None,1/19/18,2008,52313132,S
N779DA,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,2/28/29,Turbo-prop,None,Corporation,No,AA8AC2,NO,50 W SORENSON AVE,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-1360,None,P&W CANADA,PT6A-67F,12/13/18,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0779,None,2/6/19,2018,52505302,S
N10122,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,3/31/29,Turbo-prop,None,Corporation,No,A00B24,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67F,2/6/13,None,Restricted,"Forest, Agriculture and Pest Control",Yes,Valid,802A-0495,None,3/12/13,2013,50005444,S
N80166,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,2/28/30,Turbo-prop,None,Corporation,No,AAE8DD,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67F,1/19/17,None,Restricted,"Forest, Agriculture and Pest Control",Yes,Valid,802A-0685,None,2/28/17,2017,52564335,S
N4756E,AERO SPRAY INC DBA,A185F,Fixed Wing Single-Engine,CESSNA,7/31/29,Reciprocating,None,Corporation,No,A5D6DC,NO,50 W SORENSON AVE,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-1360,None,CONT MOTOR,IO 520 SERIES,7/3/79,None,Standard,Normal,No,Valid,18503862,None,7/29/22,1979,51353334,
N212FB,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,2/29/28,Turbo-prop,None,Corporation,No,A1C16F,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67F,2/26/15,None,Restricted,Agriculture and Pest Control,No,Valid,802A-0368,None,2/25/15,2010,50340557,S
N12DA,AERO SPRAY INC DBA,AT-802,Fixed Wing Single-Engine,AIR TRACTOR INC,1/31/29,Turbo-prop,None,Corporation,No,A051A5,NO,50 W SORENSON AVE,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-1360,None,P&W CANADA,PT6A-67F,11/21/18,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802-0777,None,1/17/19,2018,50050645,
N825DA,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,2/29/28,Turbo-prop,None,Corporation,No,AB43BA,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67F,1/26/18,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0737,None,2/21/18,2018,52641672,S
N3083R,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,4/30/29,Turbo-prop,None,Corporation,No,A33FDB,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67F,12/3/15,None,Restricted,"Forest, Agriculture and Pest Control",Yes,Valid,802A-0627,None,4/28/16,2015,50637733,S
N3072Y,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,4/30/28,Turbo-prop,None,Corporation,No,A33C08,NO,PO BOX 143,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-0143,None,P&W CANADA,PT6A-67F,1/30/15,None,Restricted,"Forest, Agriculture and Pest Control",Yes,Valid,802A-0588,None,4/2/15,2015,50636010,S
N802DA,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,9/30/27,Turbo-prop,None,Corporation,No,AAE997,NO,50 W SORENSON AVE,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-1360,None,P&W CANADA,PT6A-67F,7/27/20,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0851,None,9/25/20,2020,52564627,S
N846DA,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,9/30/27,Turbo-prop,None,Corporation,No,AB966F,NO,50 W SORENSON AVE,APPLETON,SWIFT,UNITED STATES,MINNESOTA,56208-1360,None,P&W CANADA,PT6A-67F,6/4/20,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0846,None,9/25/20,2020,52713157,S
