,Loc Id,Facility Type,Wind Indicator,ARP Latitude DD,ARP Longitude DD,Runway Id,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,ICAO Id,#Runway Id
0,18AA,AIRPORT,,59.36504722,-135.8049056,08/26,TURF,,,,,,,,1
1,AA35,HELIPORT,,59.43755556,-136.2293611,H1,GRVL,,,,,,,,1
2,AK46,AIRPORT,N,61.62883056,-149.0431889,07/25,GRVL,,,,,,,,1
3,ADK,AIRPORT,Y,51.88358278,-176.6424822,05/23,ASPH-G,HIGH,80,145,325,770,G,PADK,1
4,9AA9,AIRPORT,,59.40305556,-136.0194444,18/36,DIRT,,,,,,,,1
5,5AK3,AIRPORT,N,64.77318722,-147.3338022,15/33,GRAVEL,,,,,,,,1
6,AK10,AIRPORT,,61.71722222,-150.1094444,15/33,TURF-GRVL,,,,,,,,1
7,AKK,AIRPORT,Y,56.93869083,-154.1825556,04/22,GRAVEL-F,,,,,,G,PAKH,1
8,Z13,AIRPORT,Y-L,60.91380972,-161.4933292,01/19,GRAVEL-G,MED,,,,,,PFZK,1
9,KKI,SEAPLANE BASE,N,60.90786472,-161.4350772,E/W,WATER,,,,,,,,2
10,KKI,SEAPLANE BASE,N,60.90786472,-161.4350772,NW/SE,WATER,,,,,,,,2
11,AKI,AIRPORT,Y-L,60.90289722,-161.2305833,03/21,GRVL-G,MED,,,,,,PFAK,1
12,7AK,AIRPORT,Y-L,54.14461111,-165.6041083,09/27,ASPH,MED,120,250,,,F,PAUT,1
13,KQA,SEAPLANE BASE,Y,54.1339,-165.7783833,E/W,WATER-E,,,,,,,,1
14,AUK,AIRPORT,Y-L,62.68305556,-164.7221944,16/34,GRVL-DIRT-G,MED,,,,,,PAUK,1
15,AK94,HELIPORT,,58.39078056,-134.7768,H1,GRVL,,,,,,,,1
16,AK01,AIRPORT,,60.52898333,-150.6251333,06/24,GRVL,,,,,,,,1
17,AA08,HELIPORT,,61.59472222,-149.1538889,H1,ASPH-TURF,,,,,,,,1
18,2OK,HELIPORT,Y-L,61.21270278,-149.8265833,H1,ASPH-E,PERI,,,,,G,,1
19,Z33,SEAPLANE BASE,N,59.27397806,-158.6235892,E/W,WATER,,,,,,,,1
20,4AK7,AIRPORT,N,59.28092333,-158.5972003,03/21,GRVL-DIRT,,,,,,,,2
