TailNumbers,reg_owner_name,model,type_aircraft,manufacturing_name,state,category,Aircraft_Age,LandingGear
N32AL,AERO AIR LLC,690A,Fixed Wing Multi-Engine,ROCKWELL INTERNATIONAL,OREGON,Normal,47,S
N542LM,AERO AIR LLC,35A,Fixed Wing Multi-Engine,LEARJET INC,OREGON,Transport,43,D
N543LM,MARKLYN JET PARTS LLC,35A,Fixed Wing Multi-Engine,GATES LEARJET CORP.,TEXAS,Transport,42,D
N545LM,AERO AIR LLC,B200,Fixed Wing Multi-Engine,BEECH,OREGON,Normal,41,D
N546LM,AERO AIR LLC,B200,Fixed Wing Multi-Engine,BEECH,OREGON,Normal,38,D
N548LM,AERO AIR LLC,31A,Fixed Wing Multi-Engine,LEARJET INC,OREGON,Transport,31,D
N724DE,AERO AIR LLC,SR22,Fixed Wing Single-Engine,CIRRUS DESIGN CORP,OREGON,Normal,19,S
N406AS,AERO LEASING INC,407,Rotorcraft,BELL,OREGON,Normal,21,
N1546H,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",31,S
N717DA,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",15,S
N779DA,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",5,S
N10122,AERO SPRAY INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",10,S
N80166,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",6,S
N4756E,AERO SPRAY INC DBA,A185F,Fixed Wing Single-Engine,CESSNA,MINNESOTA,Normal,44,
N212FB,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,Agriculture and Pest Control,13,S
N12DA,AERO SPRAY INC DBA,AT-802,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",5,
N825DA,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",5,S
N3083R,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",8,S
N3072Y,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",8,S
N802DA,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",3,S
N846DA,AERO SPRAY INC DBA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",3,S
N6159F,AERO SPRAY INC DBA DAUNTLESS AIR,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MINNESOTA,"Forest, Agriculture and Pest Control",27,S
N85PP,AERO TECH LLC,212,Rotorcraft,BELL,NEW MEXICO,"Forest,Aerial Advertising, Agriculture and Pest Control",38,
N20AT,AERO TECH LLC,369FF,Rotorcraft,MCDONNELL DOUGLAS HELI CO,NEW MEXICO,Agriculture and Pest Control,29,
N20PF,AERO TECH LLC,212,Rotorcraft,BELL,NEW MEXICO,"Forest,Aerial Advertising, Agriculture and Pest Control",33,
N2642Y,AERO TECH LLC,T310R,Fixed Wing Multi-Engine,CESSNA,NEW MEXICO,None,No information,S
N34TP,AERO TECH LLC,407,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,NEW MEXICO,Normal,8,
N50ZZ,AERO TECH LLC,PC-6/B2-H4,Fixed Wing Single-Engine,PILATUS,NEW MEXICO,Normal,48,
N525AM,AERO TECH LLC,525,Fixed Wing Multi-Engine,CESSNA,NEW MEXICO,Normal,19,
N79RR,AERO TECH LLC,KODIAK 100,Fixed Wing Single-Engine,QUEST AIRCRAFT COMPANY LLC,NEW MEXICO,Transport,10,S
N13484,AERO-FLITE CORP,177B,Fixed Wing Single-Engine,CESSNA,TENNESSEE,Utility,47,
N385AC,AERO-FLITE INC,CL-215-6B11 (CL-415),Fixed Wing Multi-Engine,BOMBARDIER INC,WASHINGTON,Forest,8,
N389AC,AERO-FLITE INC,CL-215-6B11 (CL-415),Fixed Wing Multi-Engine,BOMBARDIER INC,WASHINGTON,Forest,10,
N416AC,AERO-FLITE INC,AVRO 146-RJ85A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,WASHINGTON,Forest,24,
N635AC,AERO-FLITE INC,AVRO 146-RJ85A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,WASHINGTON,Forest,25,
N374AC,AERO-FLITE INC,AVRO 146-RJ85A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,WASHINGTON,Forest,28,
N355AC,AERO-FLITE INC,AVRO 146-RJ85A,Fixed Wing Multi-Engine,BAE SYSTEMS PLC,WASHINGTON,Forest,27,
N839AC,AERO-FLITE INC,AVRO 146-RJ85A,Fixed Wing Multi-Engine,BAE SYSTEMS PLC,WASHINGTON,Forest,28,
N175AC,AERO-FLITE INC,PC-12/45,Fixed Wing Single-Engine,PILATUS AIRCRAFT LTD,WASHINGTON,Normal,19,
N476DF,AIR METHODS CORP,S-70I,Rotorcraft,SIKORSKY,COLORADO,Research and Development,3,
N923AU,AIRSTRIKE FIREFIGHTERS LLC,P3A,Fixed Wing Multi-Engine,AERO UNION CORP,CALIFORNIA,Forest,No information,
N917AU,AIRSTRIKE FIREFIGHTERS LLC,P-3A,Fixed Wing Multi-Engine,LOCKHEED,CALIFORNIA,Forest,No information,
N921AU,AIRSTRIKE FIREFIGHTERS LLC,P3A,Fixed Wing Multi-Engine,AERO UNION CORP,CALIFORNIA,Forest,No information,
N763AE,AMERICAN HELICOPTERS LLC,AS350B3,Rotorcraft,AMERICAN EUROCOPTER CORP,WASHINGTON,Normal,9,
N96EC,AV8-ORR HELICOPTER SERVICES INC,UH-1H,Rotorcraft,BELL,MONTANA,Other,55,
N242BH,B3 CONSULTANTS LLC,206L-1,Rotorcraft,BELL HELICOPTER TEXTRON,DELAWARE,Normal,43,
N366AC,BANK OF UTAH TRUSTEE,AVRO 146-RJ85A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,UTAH,Forest,27,
N746H,BANK OF UTAH TRUSTEE,214ST,Rotorcraft,BELL,UTAH,Transport,32,
N325AC,BANK OF UTAH TRUSTEE,AVRO 146-RJ85A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,UTAH,Forest,23,
N398AS,BANK OF UTAH TRUSTEE,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,UTAH,"Forest, Agriculture and Pest Control",9,S
N379AS,BANK OF UTAH TRUSTEE,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,UTAH,"Forest, Agriculture and Pest Control",8,S
N376AS,BANK OF UTAH TRUSTEE,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,UTAH,"Forest, Agriculture and Pest Control",8,S
N804AS,BANK OF UTAH TRUSTEE,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,UTAH,"Forest, Agriculture and Pest Control",5,S
N776AS,BANK OF UTAH TRUSTEE,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,UTAH,"Forest, Agriculture and Pest Control",7,S
N603AX,BC AIRCRAFT LEASING LLC,DC-10-30,Fixed Wing Multi-Engine,MCDONNELL-DOUGLAS,NEW MEXICO,None,No information,
N522AX,BC AIRCRAFT LEASING LLC,DC-10-30,Fixed Wing Multi-Engine,MCDONNELL-DOUGLAS,NEW MEXICO,Transport,35,
N17085,BC AIRCRAFT LEASING LLC,DC-10-30,Fixed Wing Multi-Engine,MCDONNELL-DOUGLAS,NEW MEXICO,Transport,48,
N612AX,BC AIRCRAFT LEASING LLC,DC-10-30,Fixed Wing Multi-Engine,MCDONNELL-DOUGLAS,NEW MEXICO,None,No information,
N132BH,BHI FOUR LLC,AS 350 B3,Rotorcraft,EUROCOPTER,FLORIDA,Normal,16,
N31BH,BHI HELICOPTERS INC,AS350B3,Rotorcraft,AMERICAN EUROCOPTER CORP,OREGON,Normal,12,
N168BH,BHI HOLDINGS #1 LLC,AS 350B3,Rotorcraft,AIRBUS HELICOPTERS,OREGON,None,5,
N361AL,BILLINGS FLYING SERVICE,206L-3,Rotorcraft,BELL,MONTANA,Normal,36,
N562AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BILLINGS FLYING SERVICE INC,MONTANA,"Other,Forest, Agriculture and Pest Control",33,
N561AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BILLINGS FLYING SERVICE INC,MONTANA,Crew Training,33,
