Loc Id,Runway Id
09J,1
14A,1
18A,1
1V6,2
22S,1
2I0,1
2R4,1
32S,1
38S,1
46U,1
48A,2
4S2,1
65S,1
6A8,1
6K4,1
6K8,1
6S0,2
6S3,1
74S,1
77S,1
7AK,1
7S0,1
88AZ,1
8S0,1
8S1,2
9A3,1
AAO,1
ABI,2
ABQ,3
ABR,2
ACT,2
ACV,2
ACY,3
ADH,3
ADK,1
ADM,2
ADQ,3
ADS,1
AEG,2
AFW,2
AGC,3
AGS,2
AHN,2
AIK,2
AIT,2
AIZ,1
AK15,1
ALM,2
ALS,1
ALW,1
AMA,2
ANC,3
ANE,2
APA,4
APC,3
APF,3
APV,2
AQO,2
AQW,1
ASE,2
AST,2
ATW,2
AUM,1
AUN,1
AUS,5
AVL,1
AVQ,2
AWO,2
AZE,1
BAK,2
BAM,4
BBG,1
BCT,1
BDL,2
BDN,1
BDR,2
BEA,2
BET,3
BFF,2
BFI,2
BFL,2
BFM,2
BGQ,1
BGR,2
BHK,1
BHM,2
BIG,3
BIL,3
BIS,2
BJC,3
BJI,2
BKE,3
BKS,2
BKV,2
BLI,1
BMT,1
BNA,4
BNO,2
BOI,2
BOW,3
BPG,2
BRD,3
BRG,2
BRW,1
BTF,1
BTM,2
BUR,2
BVO,1
BVS,2
BVU,2
BWG,2
BWI,3
BZN,4
C35,2
C83,2
CDB,2
CDC,2
CDS,2
CDV,2
CEC,2
CEW,1
CEZ,1
CGI,2
CHA,2
CHS,2
CIC,3
CLL,2
CLM,2
CLW,1
CMA,1
CNI,1
CNO,3
CNY,2
COD,1
COE,2
COQ,2
COS,3
CPR,2
CPS,3
CRG,2
CRP,2
CRQ,2
CTB,2
CTJ,1
CUB,1
CVN,3
CVO,2
CXO,2
CXP,1
CXY,2
CYCD,1
CYQT,2
CYS,2
CYSU,1
CYVR,3
CYXX,2
CYXY,3
CYYF,1
CYYJ,3
CZBB,2
DAG,2
DAL,2
DBQ,2
DEW,2
DFI,1
DHN,2
DIK,2
DKX,1
DLG,1
DLH,2
DLN,2
DLS,2
DMA,1
DMN,2
DNL,2
DPA,4
DPG,1
DRO,1
DTO,2
DUT,1
DVT,2
DZB,1
E25,1
EAR,2
EAT,1
ECP,1
EDF,2
EDN,1
EED,2
EEN,2
EET,1
EFD,3
EGE,2
EKO,2
EKQ,1
ELO,1
ELP,3
ELY,2
EMT,1
ENA,3
ENN,3
ENV,2
ENW,3
EQY,1
EUG,2
EVB,3
EVV,3
EVW,1
EWK,2
EYW,1
F05,2
FAI,4
FAR,3
FAT,2
FBK,6
FCM,3
FDK,2
FET,1
FFC,2
FFT,1
FFZ,2
FHR,1
FHU,4
FLG,1
FLL,2
FMM,3
FMN,2
FNL,2
FOT,1
FPR,3
FSD,4
FSM,2
FTW,4
FUL,2
FXE,2
FYU,1
FYV,1
GAL,2
GCC,2
GCD,2
GCK,2
GEG,2
GEU,1
GEY,2
GGG,2
GIC,1
GJT,2
GKN,2
GLR,2
GLW,1
GMU,4
GNB,1
GNC,2
GON,2
GPI,2
