tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N32AL,10-Nov-2022,AC90,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",02:26PM PST,03:04PM PST,0:37
N32AL,10-Nov-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",10:19AM PST,11:04AM PST,0:45
N32AL,07-Oct-2022,AC90,Great Falls Intl (KGTF),"Great Falls Intl (Great Falls, MT) - KGTF",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",12:41PM MDT,01:43PM PDT,2:02
N32AL,06-Oct-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Great Falls Intl (KGTF),"Great Falls Intl (Great Falls, MT) - KGTF",09:42AM PDT,12:44PM MDT,2:01
N32AL,04-Oct-2022,AC90,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",03:09PM PDT,03:49PM PDT,0:39
N32AL,04-Oct-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",10:27AM PDT,11:04AM PDT,0:37
N32AL,02-Oct-2022,AC90,Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",12:32PM PDT,01:03PM PDT,0:30
N32AL,02-Oct-2022,AC90,Sunriver (S21),"Sunriver (Sunriver, OR) - S21",Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",11:26AM PDT,12:09PM PDT,0:42
N32AL,30-Sep-2022,AC90,Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",Sunriver (S21),"Sunriver (Sunriver, OR) - S21",11:33AM PDT,12:13PM PDT,0:39
N32AL,30-Sep-2022,AC90,Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",Yakima Air Terminal  (KYKM),"Yakima Air Terminal  (Yakima, WA) - KYKM",10:27AM PDT,11:05AM PDT,0:37
N32AL,21-Sep-2022,AC90,Boeing Field Intl (KBFI),"Boeing Field Intl (Seattle, WA) - KBFI",Portland-Hillsboro (KHIO),"Portland-Hillsboro (Portland, OR) - KHIO",12:38PM PDT,01:16PM PDT,0:37
